Line Number	Verse Reference	Word	Full Line
1276	ΓΕΝΕΣΙΣ 36:16	Γοθὼμ	\vs{16}ἡγεμὼν Κορὲ, ἡγεμὼν Γοθὼμ, ἡγεμὼν Ἀμαλήκ· οὗτοι ἡγεμόνες Ἑλιφὰς ἐν γῇ Ἰδουμαίᾳ· οὗτοι υἱοὶ Ἀδάς.
1277	ΓΕΝΕΣΙΣ 36:17	Ναχὼθ	\vs{17}Καὶ οὗτοι υἱοὶ Ῥαγουὴλ υἱοῦ Ἡσαῦ· ἡγεμὼν Ναχὼθ, ἡγεμὼν Ζαρὲ, ἡγεμὼν Σομὲ, ἡγεμὼν Μοζέ· οὗτοι ἡγεμόνες Ῥαγουὴλ ἐν γῇ Ἐδώμ· οὗτοι υἱοὶ Βασεμὰθ γυναικὸς Ἡσαῦ.
1287	ΓΕΝΕΣΙΣ 36:27	Ἰουκάμ	\vs{27}Οὗτοι δὲ υἱοὶ Ἀσάρ· Βαλαὰμ, καὶ Ζουκὰμ, καὶ Ἰουκάμ.
1297	ΓΕΝΕΣΙΣ 36:36	Μασσεκκάς	\vs{36}Ἀπέθανε δὲ Ἀδὰδ, καὶ ἐβασίλευσεν ἀντʼ αὐτοῦ Σαμαδὰ ἐκ Μασσεκκάς.
1300	ΓΕΝΕΣΙΣ 36:39	Μαιζοώβ	\vs{39}Ἀπέθανε δὲ Βαλλενὼν υἱὸς Ἀχοβὼρ, καὶ ἐβασίλευσεν ἀντʼ αὐτοῦ Ἀρὰδ υἱὸς Βαράδ· καὶ ὄνομα τῇ πόλει αὐτοῦ Φογώρ· ὄνομα δὲ τῇ γυναικὶ αὐτοῦ Μετεβεὴλ, θυγάτηρ Ματραῒθ, υἱοῦ Μαιζοώβ.
1304	ΓΕΝΕΣΙΣ 36:43	Ζαφωίν	\vs{43}ἡγεμὼν Μαγεδιὴλ, ἡγεμὼν Ζαφωίν· οὗτοι ἡγεμόνες Ἐδὼμ, ἐν ταῖς κατῳκοδομημέναις ἐν τῇ γῇ τῆς κτήσεως αὐτῶν· οὗτος Ἡσαῦ πατὴρ Ἐδώμ.
1477	ΓΕΝΕΣΙΣ 41:45	Ἀσενὲθ	\vs{45}Καὶ ἐκάλεσε Φαραὼ τὸ ὄνομα Ἰωσὴφ, Ψονθομφανήχ· καὶ ἔδωκεν αὐτῷ τὴν Ἀσενὲθ θυγατέρα Πετεφρῆ ἱερέως Ἡλιουπόλεως αὐτῷ εἰς γυναῖκα.
1477	ΓΕΝΕΣΙΣ 41:45	Ἡλιουπόλεως	\vs{45}Καὶ ἐκάλεσε Φαραὼ τὸ ὄνομα Ἰωσὴφ, Ψονθομφανήχ· καὶ ἔδωκεν αὐτῷ τὴν Ἀσενὲθ θυγατέρα Πετεφρῆ ἱερέως Ἡλιουπόλεως αὐτῷ εἰς γυναῖκα.
1483	ΓΕΝΕΣΙΣ 41:50	Ἀσενὲθ	\vs{50}Τῷ δὲ Ἰωσὴφ ἐγένοντο υἱοὶ δύο πρὸ τοῦ ἐλθεῖν τὰ ἑπτὰ ἔτη τοῦ λιμοῦ, οὓς ἔτεκεν αὐτῷ Ἀσενὲθ ἡ θυγάτηρ Πετεφρῆ ἱερέως Ἡλιουπόλεως.
1483	ΓΕΝΕΣΙΣ 41:50	Ἡλιουπόλεως	\vs{50}Τῷ δὲ Ἰωσὴφ ἐγένοντο υἱοὶ δύο πρὸ τοῦ ἐλθεῖν τὰ ἑπτὰ ἔτη τοῦ λιμοῦ, οὓς ἔτεκεν αὐτῷ Ἀσενὲθ ἡ θυγάτηρ Πετεφρῆ ἱερέως Ἡλιουπόλεως.
1656	ΓΕΝΕΣΙΣ 46:16	Ἀηδεὶς	\vs{16}Υἱοὶ δὲ Γάδ, Σαφὼν, καὶ Ἀγγὶς, καὶ Σαννὶς, καὶ Θασοβὰν, καὶ Ἀηδεὶς, καὶ Ἀροηδεὶς, καὶ Ἀρεηλείς.
1656	ΓΕΝΕΣΙΣ 46:16	Ἀροηδεὶς	\vs{16}Υἱοὶ δὲ Γάδ, Σαφὼν, καὶ Ἀγγὶς, καὶ Σαννὶς, καὶ Θασοβὰν, καὶ Ἀηδεὶς, καὶ Ἀροηδεὶς, καὶ Ἀρεηλείς.
1657	ΓΕΝΕΣΙΣ 46:17	Ἰεσσουὰ	\vs{17}Υἱοὶ δὲ Ἀσὴρ, Ἰεμνα, Ἰεσσουὰ, καὶ Ἰεοὺλ, καὶ βαριὰ, καὶ Σάρα ἀδελφὴ αὐτῶν. Υἱοὶ δὲ βαριὰ, Χοβὸρ, καὶ Μελχιΐλ.
1657	ΓΕΝΕΣΙΣ 46:17	Μελχιΐλ	\vs{17}Υἱοὶ δὲ Ἀσὴρ, Ἰεμνα, Ἰεσσουὰ, καὶ Ἰεοὺλ, καὶ βαριὰ, καὶ Σάρα ἀδελφὴ αὐτῶν. Υἱοὶ δὲ βαριὰ, Χοβὸρ, καὶ Μελχιΐλ.
1660	ΓΕΝΕΣΙΣ 46:20	Ἀσενὲθ	\vs{20}Ἐγένοντο δὲ υἱοὶ Ἰωσὴφ ἐν γῇ Αἰγύπτου, οὓς ἔτεκεν αὐτῷ Ἀσενὲθ θυγάτηρ Πετεφρῆ ἱερέως Ἡλιουπόλεως, τὸν Μανασσῆ, καὶ τὸν Ἐφραίμ· ἐγένοντο δὲ υἱοὶ Μανασσῆ, οὓς ἔτεκεν αὐτῷ ἡ παλλακὴ ἡ Σύρα, τὸν Μαχίρ· Μαχὶρ δὲ ἐγέννησε τὸν Γαλαάδ· υἱοὶ δὲ Ἐφραὶμ ἀδελφοῦ Μανασσῆ, Σουταλαὰμ, καὶ Ταάμ· υἱοὶ δὲ Σουταλαὰμ, Ἐδώμ.
1660	ΓΕΝΕΣΙΣ 46:20	Ἡλιουπόλεως	\vs{20}Ἐγένοντο δὲ υἱοὶ Ἰωσὴφ ἐν γῇ Αἰγύπτου, οὓς ἔτεκεν αὐτῷ Ἀσενὲθ θυγάτηρ Πετεφρῆ ἱερέως Ἡλιουπόλεως, τὸν Μανασσῆ, καὶ τὸν Ἐφραίμ· ἐγένοντο δὲ υἱοὶ Μανασσῆ, οὓς ἔτεκεν αὐτῷ ἡ παλλακὴ ἡ Σύρα, τὸν Μαχίρ· Μαχὶρ δὲ ἐγέννησε τὸν Γαλαάδ· υἱοὶ δὲ Ἐφραὶμ ἀδελφοῦ Μανασσῆ, Σουταλαὰμ, καὶ Ταάμ· υἱοὶ δὲ Σουταλαὰμ, Ἐδώμ.
2204	ΕΞΟΔΟΣ 13:20	Ὀθὼμ	\vs{20}Ἐξάραντες δὲ οἱ υἱοὶ Ἰσραὴλ ἐκ Σοκχὼθ, ἐστρατοπέδευσαν ἐν Ὀθὼμ παρὰ τὴν ἔρημον.
3396	ΛΕΥΙΤΙΚΟΝ 10:4	Μισαδάη	\vs{4}Καὶ ἐκάλεσε Μωυσῆς τὸν Μισαδάη, καὶ τὸν Ἐλισαφὰν, υἱοὺς Ὀζιὴλ, υἱοὺς τοῦ ἀδελφοῦ τοῦ πατρὸς Ἀαρὼν, καὶ εἶπεν αὐτοῖς, προσέλθατε καὶ ἄρατε τοὺς ἀδελφοὺς ὑμῶν ἐκ προσώπου τῶν ἁγίων ἔξω τῆς παρεμβολῆς.
9400	ΒΑΣΙΛΕΙΩΝ Α 21:16	εἰσαγηόχατε	\vs{16}Μὴ ἐλαττοῦμαι ἐπιλήπτων ἐγὼ, ὅτι εἰσαγηόχατε αὐτὸν ἐπιληπτεύεσθαι πρὸς μέ; οὗτος οὐκ εἰσελεύσεται εἰς οἰκίαν.
10470	ΒΑΣΙΛΕΙΩΝ Β 21:8	Ἐρμωνοῒ	\vs{8}Καὶ ἔλαβεν ὁ βασιλεὺς τοὺς δύο υἱοὺς Ῥεσφὰ θυγατρὸς Ἁϊᾶ, οὓς ἔτεκε τῷ Σαοὺλ, τὸν Ἐρμωνοῒ καὶ τὸν Μεμφιβοσθὲ, καὶ τοὺς πέντε υἱοὺς τῆς Μιχὸλ θυγατρὸς Σαοὺλ, οὓς ἔτεκε τῷ Ἐσδριὴλ υἱῷ Βερζελλὶ τῷ Μωουλαθί·
10652	ΒΑΣΙΛΕΙΩΝ Γ 1:9	Ζωελεθὶ	\vs{9}Καὶ ἐθυσίασεν Ἀδωνίας πρόβατα καὶ μόσχους καὶ ἄρνας μετὰ αἰθῆ τοῦ Ζωελεθὶ, ὃς ἦν ἐχόμενα τῆς Ῥωγήλ· καὶ ἐκάλεσε πάντας τοὺς ἀδελφοὺς αὐτοῦ, καὶ πάντας τοὺς ἁδροὺς Ἰούδα παῖδας τοῦ βασιλέως.
10730	ΒΑΣΙΛΕΙΩΝ Γ 2:21	Ἀβισὰ	\vs{21}Καὶ εἶπε, δοθήτω δὴ Ἀβισὰ ἡ Σωμανίτις τῷ Αδωνίᾳ τῷ ἀδελφῷ σου εἰς γυναῖκα.
10742	ΒΑΣΙΛΕΙΩΝ Γ 2:30	ἐκπορεύωμαι	\vs{30}Καὶ ἦλθε Βαναίας υἱὸς Ἰωδαὲ πρὸς Ἰωὰβ εἰς τὴν σκηνὴν τοῦ Κυρίου, καὶ εἶπεν αὐτῷ τάδε λέγει ὁ βασιλεὺς, ἔξελθε· καὶ εἶπεν Ἰωὰβ, οὐκ ἐκπορεύωμαι, ὅτι ὧδε ἀποθανοῦμαι· καὶ ἐπέστρεψε Βαναίας υἱὸς Ἰωδαὲ, καὶ εἶπε τῷ βασιλεῖ, λέγων, τάδε λελάληκεν Ἰωὰβ, καὶ τάδε ἀποκέκριταί μοι.
10831	ΒΑΣΙΛΕΙΩΝ Γ 4:3	Σηβὰ	\vs{3}Ἐλιὰφ καὶ Ἀχιὰ υἱὸς Σηβὰ γραμματεῖς· καὶ Ἰωσαφὰτ υἱὸς Ἀχιλοὺδ ἀναμιμνήσκων·
11269	ΒΑΣΙΛΕΙΩΝ Γ 13:4	ἐδυνήθη	\vs{4}Καὶ ἐγένετο ὡς ἤκουσεν ὁ βασιλεὺς Ἱεροβοὰμ τῶν λόγων τοῦ ἀνθρώπου τοῦ Θεοῦ τοῦ ἐπικαλεσαμένου ἐπὶ τὸ θυσιαστήριον τὸ ἐν Βαιθὴλ, καὶ ἐξέτεινεν ὁ βασιλεὺς τὴν χεῖρα αὐτοῦ ἀπὸ τοῦ θυσιαστηρίου, λέγων, συλλάβετε αὐτόν· καὶ ἰδοὺ ἐξηράνθη ἡ χεὶρ αὐτοῦ, ἣν ἐξέτεινεν ἐπʼ αὐτὸν, καὶ οὐκ ἐδυνήθη ἐπιστρέψαι αὐτὴν πρὸς αὐτόν.
11278	ΒΑΣΙΛΕΙΩΝ Γ 13:11	κατῴκη	\vs{11}Καὶ προφήτης εἷς πρεσβύτης κατῴκη ἐν Βαιθὴλ, καὶ ἔρχονται οἱ υἱοὶ αὐτοῦ καὶ διηγήσαντο αὐτῷ πάντα τὰ ἔργα ἃ ἐποίησεν ὁ ἄνθρωπος τοῦ Θεοῦ ἐν τῇ ἡμέρᾳ ἐκείνῃ ἐν Βαιθὴλ, καὶ τοὺς λόγους οὓς ἐλάλησε τῷ βασιλεῖ, καὶ ἐπέστρεψαν τὸ πρόσωπον τοῦ πατρὸς αὐτῶν.
11387	ΒΑΣΙΛΕΙΩΝ Γ 16:18	προκατείληπται	\vs{18}Καὶ ἐγενήθη ὡς εἶδε Ζαμβρὶ ὅτι προκατείληπται αὐτοῦ ἡ πόλις, καὶ πορεύεται εἰς ἄντρον τοῦ οἴκου τοῦ βασιλέως, καὶ ἐνεπύρισεν ἐπʼ αὐτὸν τὸν οἶκον τοῦ βασιλέως, καὶ ἀπέθανεν
11395	ΒΑΣΙΛΕΙΩΝ Γ 16:24	Σεμηρών	\vs{24}Καὶ ἐκτήσατο Ἀμβρὶ τὸ ὄρος τὸ Σεμερὼν παρὰ Σεμὴρ τοῦ κυρίου τοῦ ὄρους ἐν δύο ταλάντων ἀργυρίου· καὶ ᾠκοδόμησε τὸ ὄρος, καὶ ἐπεκάλεσαν τὸ ὄνομα τοῦ ὄρους οὗ ᾠκοδόμησαν ἐπὶε τῷ ὀνόματι Σεμὴρ τοῦ κυρίου τοῦ ὄρους, Σεμηρών.
11427	ΒΑΣΙΛΕΙΩΝ Γ 17:6	τοδείλης	\vs{6}Καὶ οἱ κόρακες ἔφερον αὐτῷ ἄρτους τοπρωῒ, καὶ κρέα τοδείλης, καὶ ἐκ τοῦ χειμάῤῥου ἔπινεν ὕδωρ.
11463	ΒΑΣΙΛΕΙΩΝ Γ 18:11	ἀνάγγελε	\vs{11}Καὶ νῦν σὺ λέγεις, πορεύου, ἀνάγγελε τῷ κυρίῳ σου, ἰδοὺ Ἠλιού.
11496	ΒΑΣΙΛΕΙΩΝ Γ 18:38	ἐξέλειξε	\vs{38}Καὶ ἔπεσε πῦρ παρὰ Κυρίου ἐκ τοῦ οὐρανοῦ, καὶ κατέφαγε τὰ ὁλοκαυτώματα καὶ τὰς σχίδακας καὶ τὸ ὕδωρ τὸ ἐν τῇ θαλάσσῃ, καὶ τοὺς λίθους καὶ τὸν χοῦν ἐξέλειξε τὸ πῦρ.
11499	ΒΑΣΙΛΕΙΩΝ Γ 18:40	Κισσῶν	\vs{40}Καὶ εἶπεν Ἠλιοὺ πρὸς τὸν λαὸν, συλλάβετε τοὺς προφήτας τοῦ Βάαλ, μηδεὶς σωθήτω ἐξ αὐτῶν· καὶ συνελαβον αὐτοὺς, καὶ κατάγει αὐτοὺς Ἠλιοὺ εἰς τὸν χειμάῤῥουν Κισσῶν, καὶ ἔσφαξεν αὐτοὺς ἐκεῖ.
11601	ΒΑΣΙΛΕΙΩΝ Γ 21:23	κραταιώσωμεν	\vs{23}Καὶ οἱ παῖδες βασιλέως Συρίας· καὶ εἶπον, θεὸς ὀρέων Θεὸς Ἰσραὴλ καὶ οὐ θεὸς κοιλάδων, διὰ τοῦτο ἐκραταίωσεν ὑπὲρ ἡμᾶς· ἐὰν δὲ πολεμήσωμεν αὐτοὺς κατʼ εὐθὺ, εἰ μὴν κραταιώσωμεν ὑπὲρ αὐτούς.
11673	ΒΑΣΙΛΕΙΩΝ Γ 22:35	ἀπέχυνε	\vs{35}Καὶ ἐτροπώθη ὁ πόλεμος ἐν τῇ ἡμέρᾳ ἐκείνῃ, καὶ ὁ βασιλεὺς ἦν ἑστηκὼς ἐπὶ τοῦ ἅρματος ἐξεναντίας Συρίας ἀπὸ πρωῒ ἕως ἑσπέρας, καὶ ἀπέχυνε τὸ αἷμα ἀπὸ τῆς πληγῆς εἰς τὸν κόλπον τοῦ ἅρματος, καὶ ἀπέθανεν ἑσπέρας, καὶ ἐξεπορεύετο τὸ αἷμα τῆς τροπῆς ἕως τοῦ κόλπου τοῦ ἅρματος.
11837	ΒΑΣΙΛΕΙΩΝ Δ 4:36	Σωμανίτην	\vs{36}Καὶ ἐξεβόησεν Ἑλισαιὲ πρὸς Γιεζὶ, καὶ εἶπε, κάλεσον τὴν Σωμανίτην ταύτην· καὶ ἐκάλεσε, καὶ εἰσῆλθε πρὸς αὐτόν· καὶ εἶπεν Ἑλισαιὲ, λάβε τὸν υἱόν σου.
11942	ΒΑΣΙΛΕΙΩΝ Δ 7:12	συλληψόμεθα	\vs{12}Καὶ ἀνέστη ὁ βασιλεὺς νυκτὸς, καὶ εἶπε πρὸς τοὺς παῖδας αὐτοῦ, ἀναγγελῶ δὴ ὑμῖν ἃ ἐποίησεν ἡμῖν Συρία· ἔγνωσαν ὅτι πεινῶμεν ἡμεῖς, καὶ ἐξῆλθαν ἐκ τῆς παρεμβολῆς καὶ ἐκρύβησαν ἐν τῷ ἀγρῷ, λέγοντες, ὅτι ἐξελεύσονται ἐκ τῆς πόλεως, καὶ συλληψόμεθα αὐτοὺς ζῶντας, καὶ εἰς τὴν πόλιν εἰσελευσόμεθα.
12003	ΒΑΣΙΛΕΙΩΝ Δ 9:11	ἐπίληπτος	\vs{11}Καὶ Ἰοὺ ἐξῆλθε πρὸς τοὺς παῖδας τοῦ κυρίου αὐτοῦ, καὶ εἶπαν αὐτῷ, εἰρήνη; τί ὅτι εἰσῆλθεν ὁ ἐπίληπτος οὗτος πρὸς σέ; καὶ εἶπεν αὐτοῖς, ὑμεῖς οἴδατε τὸν ἄνδρα καὶ τὴν ἀδολεσχίαν αὐτοῦ.
12064	ΒΑΣΙΛΕΙΩΝ Δ 10:21	ἀπολιπέσθω	\vs{21}Καὶ ἀπέστειλεν Ἰοὺ ἐν παντὶ Ἰσραὴλ, λέγων, καὶ νῦν πάντες οἱ δοῦλοι, καὶ πάντες οἱ ἱερεῖς αὐτοῦ, καὶ πάντες οἱ προθῆται αὐτοῦ, μηδεὶς ἀπολιπέσθω, ὅτι θυσίαν μεγάλην ποιῶ· ὃς ἂν ἀπολειφθῇ, οὐ ζήσεται· καὶ ἦλθον πάντες οἱ δοῦλοι τοῦ Βάαλ, καὶ πάντες οἱ ἱερεῖς αὐτοῦ, καὶ πάντες οἱ προφῆται αὐτοῦ· οὐ κατελείφθη ἀνὴρ ὃς οὐ παρεγένετο· καὶ εἰσῆλθον εἰς τὸν οἶκον τοῦ Βάαλ· καὶ ἐπλήσθη ὁ οἶκος τοῦ Βάαλ στόμα εἰς στόμα.
12176	ΒΑΣΙΛΕΙΩΝ Δ 14:2	Ἰωαδὶμ	\vs{2}Υἱὸς εἴκοσι καὶ πέντε ἐτῶν ἦν ἐν τῷ βασιλεύειν αὐτὸν, καὶ εἴκοσι καὶ ἐννέα ἔτη ἐβασίλευσεν ἐν Ἰερουσαλὴμ, καὶ ὄνομα τῆς μητρὸς αὐτοῦ Ἰωαδὶμ ἐξ Ἱερουσαλήμ.
12229	ΒΑΣΙΛΕΙΩΝ Δ 15:13	ἐννάτῳ	\vs{13}Καὶ Σελλοὺμ υἱὸς Ἰαβὶς ἐβασίλευσε· καὶ ἐν ἔτει τριακοστῷ καὶ ἐννάτῳ Ἀζαρίᾳ βασιλεῖ Ἰούδα ἐβασίλευσε Σελλοὺμ μῆνα ἡμερῶν ἐν Σαμαρείᾳ.
12235	ΒΑΣΙΛΕΙΩΝ Δ 15:17	ἐννάτῳ	\vs{17}Ἐν ἔτει τριακοστῷ καὶ ἐννάτῳ τῷ Ἀζαρίᾳ βασιλεῖ Ἰούδα ἐβασίλευσε Μαναὴμ υἱὸς Γαδδὶ ἐπὶ Ἰσραὴλ ἐν Σαμαρείᾳ δέκα ἔτη.
12296	ΒΑΣΙΛΕΙΩΝ Δ 17:6	ἐννάτῳ	\vs{6}Ἐν ἔτει ἐννάτῳ Ὠσῆε συνέλαβε βασιλεὺς Ἀσσυρίων τὴν Σαμάρειαν, καὶ ἀπῴκισεν Ἰσραὴλ εἰς Ἀσσυρίους, καὶ κατῴκισεν αὐτοὺς ἐν Ἀλαὲ καὶ ἐν Ἀβὼρ ποταμοῖς Γωζὰν, καὶ ὄρη Μήδων.
12301	ΒΑΣΙΛΕΙΩΝ Δ 17:11	ἀπῴκησε	\vs{11}καὶ ἐθυμίασαν ἐκεῖ ἐν πᾶσιν ὑψηλοῖς, καθὼς τὰ ἔθνη ἃ ἀπῴκησε Κύριος ἐκ προσώπου αὐτῶν, καὶ ἐποίησαν κοινωνοὺς, καὶ ἐχάραξαν τοῦ παροργίσαι τὸν Κύριον,
12321	ΒΑΣΙΛΕΙΩΝ Δ 17:27	κατοικήτωσαν	\vs{27}Καὶ ἐνετείλατο ὁ βασιλεὺς Ἀσσυρίων, λέγων, ἀπαγάγετε ἐκεῖθεν, καὶ πορευέσθωσαν, καὶ κατοικήτωσαν ἐκεῖ, καὶ φωτιοῦσιν αὐτοὺς τὸ κρίμα τοῦ Θεοῦ τῆς γῆς.
12362	ΒΑΣΙΛΕΙΩΝ Δ 18:18	Σωμνὰς	\vs{18}Καὶ ἐβόησαν πρὸς Ἐζεκίαν· καὶ ἦλθον πρὸς αὐτὸν Ἑλιακὶμ υἱὸς Χελκίου ὁ οἰκονόμος, καὶ Σωμνὰς ὁ γραμματεὺς, καὶ Ἰωὰς ὁ νἱὸς Σαφὰτ ὁ ἀναμιμνήσκων.
12372	ΒΑΣΙΛΕΙΩΝ Δ 18:26	Σωμνὰς	\vs{26}Καὶ εἶπεν Ἑλιακὶμ υἱὸς Χελκίου καὶ Σωμνὰς καὶ Ἰωὰς πρὸς Ῥαψάκην, λάλησον δὴ πρὸς τοὺς παῖδάς σου Συριστὶ, ὅτι ἀκούομεν ἡμεῖς· καὶ οὐ λαλήσεις μεθʼ ἡμῶν Ἰουδαϊστὶ· καὶ ἱνατί λαλεῖς ἐν τοῖς ὠσὶ τοῦ λαοῦ τοῦ ἐπὶ τοῦ τείχους;
12385	ΒΑΣΙΛΕΙΩΝ Δ 18:37	Σωμνὰς	\vs{37}Καὶ εἰσῆλθεν Ἐλιακὶμ υἱὸς Χελκίου ὁ οἰκονόμος, καὶ Σωμνὰς ὁ γραμματεὺς, καὶ Ἰωὰς υἱὸς Σαφὰτ ὁ ἀναμιμνήσκων πρὸς Ἐζεκίαν, διεῤῥηχότες τὰ ἱμάτια, καὶ ἀνήγγειλαν αὐτῷ τοὺς λόγους Ῥαψάκου.
12389	ΒΑΣΙΛΕΙΩΝ Δ 19:2	Σωμνὰν	\vs{2}Καὶ ἀπέστειλεν Ἑλιακὶμ τὸν οἰκονόμον, καὶ Σωμνὰν τὸν γραμματέα, καὶ τοὺς πρεσβυτέρους τῶν ἱερέων περιβεβλημένους σάκκους, πρὸς Ἡσαΐαν τὸν προφήτην υἱὸν Ἀμώς.
12499	ΒΑΣΙΛΕΙΩΝ Δ 22:3	Σαπφὰν	\vs{3}Καὶ ἐγενήθη ἐν τῷ ὀκτωκαιδεκάτῳ ἔτει τῷ βασιλεῖ Ἰωσείᾳ, ἐν τῷ μηνὶ τῷ ὀγδόῳ ἀπέστειλεν ὁ βασιλεὺς τὸν Σαπφὰν υἱὸν Ἐζελίου υἱοῦ Μεσολλὰμ τὸν γραμματέα οἴκου Κυρίου, λέγων,
