Line Number	Verse Reference	Word	Is Name?	Is Number?	Likely Typo?	Closest Match	Similarity	Verse Match?	Area Match?	Legitimate Variation?	Full Line
484	ΓΕΝΕΣΙΣ 14:9	Ἐλὰμ	Yes	No	No	αιλαμ	1.00	Yes	No	Yes	\vs{9}πρὸς Χοδολλογομὸρ βασιλέα Ἐλὰμ, καὶ Θαπγὰλ βασιλέα ἐθνῶν, καὶ Ἀμαρφὰλ βασιλέα Σενναὰρ, καὶ Ἀριὼχ βασιλέα Ἑλλασὰρ, οἱ τέσσαρες βασιλεῖς πρὸς τοὺς πέντε.
491	ΓΕΝΕΣΙΣ 14:15	Χοβὰ	Yes	No	No	χωβα	1.00	Yes	No	Yes	\vs{15}Καὶ ἐπέπεσεν ἐπʼ αὐτοὺς τὴν νύκτα αὐτὸς, καὶ οἱ παῖδες αὐτοῦ, καὶ ἐπάταξεν αὐτοὺς, καὶ κατεδίωξεν αὐτοὺς ἕως Χοβὰ, ἥ ἐστιν ἐν ἀριστερᾷ Δαμασκοῦ.
543	ΓΕΝΕΣΙΣ 16:16	ὀγδοηκονταὲξ	No	Yes	No	ὀγδοήκοντα ἓξ	1.00	Yes	No	Yes	\vs{16}Ἅβραμ δὲ ἦν ἐτῶν ὀγδοηκονταὲξ, ἡνίκα ἔτεκεν Ἄγαρ τῷ Ἅβραμ τὸν Ἰσμαήλ.
546	ΓΕΝΕΣΙΣ 17:1	ἐννενηκονταεννέα	No	Yes	Yes	ἐνενήκοντα ἐννέα	0.97	Yes	No	No	Ἐγένετο δὲ Ἅβραμ ἐτῶν ἐννενηκονταεννέα. Καὶ ὤφθη Κύριος τῷ Ἅβραμ, καὶ εἶπεν αὐτῷ, ἐγώ εἰμι ὁ Θεός σου· εὐαρέστει ἐνώπιον ἐμοῦ, καὶ γίνου ἄμεμπτος.
562	ΓΕΝΕΣΙΣ 17:17	ἐννενήκοντα	No	Yes	No	ἐνενήκοντα	1.00	Yes	No	Yes	\vs{17}Καὶ ἔπεσεν Ἁβραὰμ ἐπὶ πρόσωπον αὐτοῦ, καὶ ἐγέλασε· καὶ εἶπεν ἐν τῇ διανοίᾳ αὐτοῦ, λέγων, εἰ τῷ ἑκατονταετεῖ γενήσεται υἱός; καὶ εἰ ἡ Σάῤῥα ἐννενήκοντα ἐτῶν τέξεται;
570	ΓΕΝΕΣΙΣ 17:24	ἐννενηκονταεννέα	No	Yes	Yes	ἐνενήκοντα ἐννέα	0.97	Yes	No	No	\vs{24}Ἁβραὰμ δὲ ἐννενηκονταεννέα ἦν ἐτῶν, ἡνίκα περιετέμετο τὴν σάρκα τῆς ἀκροβυστίας αὐτοῦ.
571	ΓΕΝΕΣΙΣ 17:25	δεκατριῶν	No	Yes	No	δέκα τριῶν	1.00	Yes	No	Yes	\vs{25}Ἰσμαὴλ δὲ ὁ υἱὸς αὐτοῦ ἦν ἐτῶν δεκατριῶν, ἡνίκα περιετέμετο τὴν σάρκα τῆς ἀκροβυστίας αὐτοῦ.
579	ΓΕΝΕΣΙΣ 18:4	Ληφθήτω	Yes	No	No	λημφθήτω	1.00	Yes	No	Yes	\vs{4}Ληφθήτω δὴ ὕδωρ, καὶ νιψάτωσαν τοὺς πόδας ὑμῶν, καὶ καταψύξατε ὑπὸ τὸ δένδρον.
605	ΓΕΝΕΣΙΣ 18:28	τεσσαρακονταπέντε	No	Yes	No	τεσσαράκοντα πέντε	1.00	Yes	No	Yes	\vs{28}Ἐὰν δὲ ἐλαττονωθῶσιν οἱ πεντήκοντα δίκαιοι εἰς τεσσαρακονταπέντε, ἀπολεῖς ἕνεκεν τῶν πέντε πᾶσαν τὴν πόλιν; καὶ εἶπεν, οὐ μὴ ἀπολέσω, ἐὰν εὕρω ἐκεῖ τεσσαρακονταπέντε.
605	ΓΕΝΕΣΙΣ 18:28	τεσσαρακονταπέντε	No	Yes	No	τεσσαράκοντα πέντε	1.00	Yes	No	Yes	\vs{28}Ἐὰν δὲ ἐλαττονωθῶσιν οἱ πεντήκοντα δίκαιοι εἰς τεσσαρακονταπέντε, ἀπολεῖς ἕνεκεν τῶν πέντε πᾶσαν τὴν πόλιν; καὶ εἶπεν, οὐ μὴ ἀπολέσω, ἐὰν εὕρω ἐκεῖ τεσσαρακονταπέντε.
624	ΓΕΝΕΣΙΣ 19:12	εἴτις	No	No	No	εἴ τίς	1.00	Yes	No	Yes	\vs{12}Εἶπαν δὲ οἱ ἄνδρες πρὸς τὸν Λὼτ, εἰσί σοι ὧδε γαμβροὶ, ἢ υἱοὶ, ἢ θυγατέρες; ἢ εἴτις σοι ἄλλος ἐστὶν ἐν τῇ πόλει, ἐξάγαγε ἐκ τοῦ τόπου τούτου,
737	ΓΕΝΕΣΙΣ 22:24	Μοχά	Yes	No	No	μωχα	1.00	Yes	No	Yes	\vs{24}Καὶ ἡ παλλακὴ αὐτοῦ, ᾗ ὄνομα Ῥεύμα, ἔτεκε καὶ αὐτὴ τὸν Ταβὲκ, καὶ τὸν Ταὰμ, καὶ τὸν Τοχός, καὶ τὸν Μοχά.
740	ΓΕΝΕΣΙΣ 23:1	εἰκοσιεπτά	No	Yes	No	εἴκοσι ἑπτά	1.00	Yes	No	Yes	Ἐγένετο δὲ ἡ ζωὴ Σάῤῥας, ἔτη ἑκατὸν εἰκοσιεπτά.
790	ΓΕΝΕΣΙΣ 24:27	τ	No	No	No			No	No	No	\vs{27}Καὶ εἶπεν, εὐλογητὸς Κύριος ὁ Θεὸς τοῦ κυρίου μου Ἁβραάμ, ὃς οὐκ ἐγκατέλειπε τὴν δικαιοσύνην αὐτοῦ, καὶ τὴν ἀλήθειαν, ἀπὸ τοῦ κυρίου μου· ἐμὲ τʼ εὐώδωκε Κύριος εἰς οἶκον τοῦ ἀδελφοῦ τοῦ κυρίου μου.
837	ΓΕΝΕΣΙΣ 25:2	Ἰεσβὼκ	Yes	No	No	ιεσβοκ	1.00	Yes	No	Yes	\vs{2}Ἔτεκε δὲ αὐτῷ τὸν Ζομβρᾶν, καὶ τὸν Ἰεζὰν, καὶ τὸν Μαδὰλ, καὶ τὸν Μαδιὰμ, καὶ τὸν Ἰεσβὼκ, καὶ τὸν Σωίε.
838	ΓΕΝΕΣΙΣ 25:3	Δεδάν	Yes	No	No	δαιδαν	1.00	Yes	No	Yes	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
838	ΓΕΝΕΣΙΣ 25:3	Δεδὰν	Yes	No	No	δαιδαν	1.00	Yes	No	Yes	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
838	ΓΕΝΕΣΙΣ 25:3	Ἀσσουριεὶμ	Yes	No	No	ασσουριιμ	1.00	Yes	No	Yes	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
838	ΓΕΝΕΣΙΣ 25:3	Λατουσιεὶμ	Yes	No	No	λατουσιιμ	1.00	Yes	No	Yes	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
839	ΓΕΝΕΣΙΣ 25:4	Ἀφεὶρ	Yes	No	No	αφερ	1.00	Yes	No	Yes	\vs{4}Υἱοὶ δὲ Μαδιὰμ Γεφὰρ, καὶ Ἀφεὶρ, καὶ Ἐνὼχ, καὶ Ἀβειδὰ, καὶ Ἐλδαγά· πάντες οὗτοι ἦσαν υἱοὶ Χεττούρας.
842	ΓΕΝΕΣΙΣ 25:7	ἑβδομηκονταπεντε	No	Yes	No	ἑβδομήκοντα πέντε	1.00	Yes	No	Yes	\vs{7}Ταῦτα δὲ τὰ ἔτη ἡμερῶν τῆς ζωῆς Ἁβραὰμ ὅσα ἔζησεν, ἑκατὸν ἑβδομηκονταπεντε ἔτη.
852	ΓΕΝΕΣΙΣ 25:17	τριακονταεπτὰ	No	Yes	No	τριάκοντα ἑπτὰ	1.00	Yes	No	Yes	\vs{17}Καὶ ταῦτα τὰ ἔτη τῆς ζωῆς Ἰσμαὴλ, ἑκατὸν τριακονταεπτὰ ἔτη· καὶ ἐκλείπων ἀπέθανε, καὶ προσετέθη πρὸς τὸ γένος αὐτοῦ.
866	ΓΕΝΕΣΙΣ 25:29	ἕψημα	No	No	No	ἕψεμα	1.00	Yes	No	Yes	\vs{29}Ἥψησε δὲ Ἰακὼβ ἕψημα· ἦλθε δὲ Ἡσαῦ ἐκ τοῦ πεδίου ἐκλείπων.
871	ΓΕΝΕΣΙΣ 25:34	ἕψημα	No	No	No	ἕψεμα	1.00	Yes	No	Yes	\vs{34}Ἰακὼβ δὲ ἔδωκε τῷ Ἠσαῦ ἄρτον, καὶ ἕψημα φακοῦ· καὶ ἔφαγε καὶ ἔπιε, καὶ ἀναστὰς ᾤχετο· καὶ ἐφαύλισεν Ἡσαῦ τὰ πρωτοτόκια.
901	ΓΕΝΕΣΙΣ 26:26	Φιχὼλ	Yes	No	No			No	No	No	\vs{26}Καὶ Ἀβιμέλεχ ἐπορεύθη πρὸς αὐτὸν ἀπὸ Γεράρων, καὶ Ὁχοζὰθ ὁ νυμφαγωγὸς αὐτοῦ, καὶ Φιχὼλ ὁ ἀρχιστράτηγος τῆς δυνάμεως αὐτοῦ.
910	ΓΕΝΕΣΙΣ 26:34	Βεὼχ	Yes	No	No			No	No	No	\vs{34}Ἦν δὲ Ἡσαῦ ἐτῶν τεσσαράκοντα, καὶ ἔλαβε γυναῖκα Ἰουδὶθ, θυγατέρα Βεὼχ τοῦ Χετταίου, καὶ τὴν Βασεμὰθ, θυγατέρα Ἑλὼν Χετταίου.
910	ΓΕΝΕΣΙΣ 26:34	Ἑλὼν	Yes	No	No	αιλων	1.00	Yes	No	Yes	\vs{34}Ἦν δὲ Ἡσαῦ ἐτῶν τεσσαράκοντα, καὶ ἔλαβε γυναῖκα Ἰουδὶθ, θυγατέρα Βεὼχ τοῦ Χετταίου, καὶ τὴν Βασεμὰθ, θυγατέρα Ἑλὼν Χετταίου.
974	ΓΕΝΕΣΙΣ 28:9	Ναβεὼθ	Yes	No	No	ναβαιωθ	1.00	Yes	No	Yes	\vs{9}ἐπορεύθη Ἡσαῦ πρὸς Ἰσμαήλ· καὶ ἔλαβε τὴν Μαελὲθ, θυγατέρα Ἰσμαὴλ τοῦ υἱοῦ Ἁβραὰμ, ἀδελφὴν Ναβεὼθ, πρὸς ταῖς γυναιξὶν αὐτοῦ γυναῖκα.
1037	ΓΕΝΕΣΙΣ 30:8	συναντελάβετό	No	No	No			No	No	No	\vs{8}Καὶ εἶπε Ῥαχὴλ, συναντελάβετό μου ὁ Θεὸς, καὶ συνανεστράφην τῇ ἀδελφῇ μου, καὶ ἠδυνάσθην· καὶ ἐκάλεσε τὸ ὄνομα αὐτοῦ, Νεφθαλεί.
1116	ΓΕΝΕΣΙΣ 31:41	δεκατέσσαρα	No	Yes	No	δέκα τέσσαρα	1.00	Yes	No	Yes	\vs{41}Ταῦτά μοι εἴκοσι ἔτη ἐγώ εἰμι ἐν τῇ οἰκίᾳ σου· ἐδούλευσά σοι δεκατέσσαρα ἔτη ἀντὶ τῶν δύο θυγατέρων σου, καὶ ἓξ ἔτη ἐν τοῖς προβάτοις σου, καὶ παρελογίσω τὸν μισθόν μου δέκα ἀμνάσιν.
1188	ΓΕΝΕΣΙΣ 33:18	Σηκίμων	Yes	No	No	σικιμων	1.00	Yes	No	Yes	\vs{18}Καὶ ἦλθεν Ἰακὼβ εἰς Σαλὴμ, πόλιν Σηκίμων, ἥ ἐστιν ἐν γῇ Χαναὰν, ὅτε ἐπανῆλθεν ἐκ τῆς Μεσοποταμίας Συρίας· καὶ παρενέλαβε κατὰ πρόσωπον τῆς πόλεως.
1231	ΓΕΝΕΣΙΣ 35:4	Σηκίμοις	Yes	No	No	σικιμοις	1.00	Yes	No	Yes	\vs{4}Καὶ ἔδωκαν τῷ Ἰακὼβ τοὺς θεοὺς τοὺς ἀλλοτρίους, οἳ ἦσαν ἐν ταῖς χερσὶν αὐτῶν, καὶ τὰ ἐνώτια τὰ ἐν τοῖς ὠσὶν αὐτῶν· καὶ κατέκρυψεν αὐτὰ Ἰακὼβ ὑπὸ τὴν τερέβινθον τὴν ἐν Σηκίμοις· καὶ ἀπώλεσεν αὐτὰ, ἕως τῆς σήμερον ἡμέρας.
1232	ΓΕΝΕΣΙΣ 35:5	Σηκίμων	Yes	No	No	σικιμων	1.00	Yes	No	Yes	\vs{5}Καὶ ἐξῇρεν Ἰσραὴλ ἐκ Σηκίμων· καὶ ἐγένετο φόβος Θεοῦ ἐπὶ τὰς πόλεις τὰς κύκλῳ αὐτῶν, καὶ οὐ κατεδίωξαν ὀπίσω τῶν υἱῶν Ἰσραήλ.
1271	ΓΕΝΕΣΙΣ 36:11	Γοθὼμ	Yes	No	No	γοθομ	1.00	Yes	No	Yes	\vs{11}Ἐγένοντο δὲ Ἑλιφὰς υἱοὶ, Θαιμὰν, Ὠμὰρ, Σωφὰρ, Γοθὼμ, καὶ Κενέζ.
1273	ΓΕΝΕΣΙΣ 36:13	Ναχὼθ	Yes	No	No	ναχοθ	1.00	Yes	No	Yes	\vs{13}Οὗτοι δὲ υἱοὶ Ῥαγουὴλ, Ναχὼθ, Ζαρὲ, Σομὲ, καὶ Μοζέ· οὗτοι ἦσαν υἱοὶ Βασεμὰθ γυναικὸς Ἡσαῦ.
1276	ΓΕΝΕΣΙΣ 36:16	Γοθὼμ	Yes	No	No	γοθομ	1.00	Yes	No	Yes	\vs{16}ἡγεμὼν Κορὲ, ἡγεμὼν Γοθὼμ, ἡγεμὼν Ἀμαλήκ· οὗτοι ἡγεμόνες Ἑλιφὰς ἐν γῇ Ἰδουμαίᾳ· οὗτοι υἱοὶ Ἀδάς.
1277	ΓΕΝΕΣΙΣ 36:17	Ναχὼθ	Yes	No	No	ναχοθ	1.00	Yes	No	Yes	\vs{17}Καὶ οὗτοι υἱοὶ Ῥαγουὴλ υἱοῦ Ἡσαῦ· ἡγεμὼν Ναχὼθ, ἡγεμὼν Ζαρὲ, ἡγεμὼν Σομὲ, ἡγεμὼν Μοζέ· οὗτοι ἡγεμόνες Ῥαγουὴλ ἐν γῇ Ἐδώμ· οὗτοι υἱοὶ Βασεμὰθ γυναικὸς Ἡσαῦ.
1287	ΓΕΝΕΣΙΣ 36:27	Ἰουκάμ	Yes	No	No	ιωυκαμ	1.00	Yes	No	Yes	\vs{27}Οὗτοι δὲ υἱοὶ Ἀσάρ· Βαλαὰμ, καὶ Ζουκὰμ, καὶ Ἰουκάμ.
1297	ΓΕΝΕΣΙΣ 36:36	Μασσεκκάς	Yes	No	No	μασεκκας	1.00	Yes	No	Yes	\vs{36}Ἀπέθανε δὲ Ἀδὰδ, καὶ ἐβασίλευσεν ἀντʼ αὐτοῦ Σαμαδὰ ἐκ Μασσεκκάς.
1300	ΓΕΝΕΣΙΣ 36:39	Μαιζοώβ	Yes	No	No	μαιζοοβ	1.00	Yes	No	Yes	\vs{39}Ἀπέθανε δὲ Βαλλενὼν υἱὸς Ἀχοβὼρ, καὶ ἐβασίλευσεν ἀντʼ αὐτοῦ Ἀρὰδ υἱὸς Βαράδ· καὶ ὄνομα τῇ πόλει αὐτοῦ Φογώρ· ὄνομα δὲ τῇ γυναικὶ αὐτοῦ Μετεβεὴλ, θυγάτηρ Ματραῒθ, υἱοῦ Μαιζοώβ.
1304	ΓΕΝΕΣΙΣ 36:43	Ζαφωίν	Yes	No	No	ζαφωεί	1.00	Yes	No	Yes	\vs{43}ἡγεμὼν Μαγεδιὴλ, ἡγεμὼν Ζαφωίν· οὗτοι ἡγεμόνες Ἐδὼμ, ἐν ταῖς κατῳκοδομημέναις ἐν τῇ γῇ τῆς κτήσεως αὐτῶν· οὗτος Ἡσαῦ πατὴρ Ἐδώμ.
1477	ΓΕΝΕΣΙΣ 41:45	Ἀσενὲθ	Yes	No	No	ασεννεθ	1.00	Yes	No	Yes	\vs{45}Καὶ ἐκάλεσε Φαραὼ τὸ ὄνομα Ἰωσὴφ, Ψονθομφανήχ· καὶ ἔδωκεν αὐτῷ τὴν Ἀσενὲθ θυγατέρα Πετεφρῆ ἱερέως Ἡλιουπόλεως αὐτῷ εἰς γυναῖκα.
1477	ΓΕΝΕΣΙΣ 41:45	Ἡλιουπόλεως	Yes	No	No	ἡλίου πόλεως	1.00	Yes	No	Yes	\vs{45}Καὶ ἐκάλεσε Φαραὼ τὸ ὄνομα Ἰωσὴφ, Ψονθομφανήχ· καὶ ἔδωκεν αὐτῷ τὴν Ἀσενὲθ θυγατέρα Πετεφρῆ ἱερέως Ἡλιουπόλεως αὐτῷ εἰς γυναῖκα.
1483	ΓΕΝΕΣΙΣ 41:50	Ἀσενὲθ	Yes	No	No	ασεννεθ	1.00	Yes	No	Yes	\vs{50}Τῷ δὲ Ἰωσὴφ ἐγένοντο υἱοὶ δύο πρὸ τοῦ ἐλθεῖν τὰ ἑπτὰ ἔτη τοῦ λιμοῦ, οὓς ἔτεκεν αὐτῷ Ἀσενὲθ ἡ θυγάτηρ Πετεφρῆ ἱερέως Ἡλιουπόλεως.
1483	ΓΕΝΕΣΙΣ 41:50	Ἡλιουπόλεως	Yes	No	No	ἡλίου πόλεως	1.00	Yes	No	Yes	\vs{50}Τῷ δὲ Ἰωσὴφ ἐγένοντο υἱοὶ δύο πρὸ τοῦ ἐλθεῖν τὰ ἑπτὰ ἔτη τοῦ λιμοῦ, οὓς ἔτεκεν αὐτῷ Ἀσενὲθ ἡ θυγάτηρ Πετεφρῆ ἱερέως Ἡλιουπόλεως.
1656	ΓΕΝΕΣΙΣ 46:16	Ἀηδεὶς	Yes	No	No	αηδις	1.00	Yes	No	Yes	\vs{16}Υἱοὶ δὲ Γάδ, Σαφὼν, καὶ Ἀγγὶς, καὶ Σαννὶς, καὶ Θασοβὰν, καὶ Ἀηδεὶς, καὶ Ἀροηδεὶς, καὶ Ἀρεηλείς.
1656	ΓΕΝΕΣΙΣ 46:16	Ἀροηδεὶς	Yes	No	No	αροηδις	1.00	Yes	No	Yes	\vs{16}Υἱοὶ δὲ Γάδ, Σαφὼν, καὶ Ἀγγὶς, καὶ Σαννὶς, καὶ Θασοβὰν, καὶ Ἀηδεὶς, καὶ Ἀροηδεὶς, καὶ Ἀρεηλείς.
1657	ΓΕΝΕΣΙΣ 46:17	Ἰεσσουὰ	Yes	No	No	ιεσουα	1.00	Yes	No	Yes	\vs{17}Υἱοὶ δὲ Ἀσὴρ, Ἰεμνα, Ἰεσσουὰ, καὶ Ἰεοὺλ, καὶ βαριὰ, καὶ Σάρα ἀδελφὴ αὐτῶν. Υἱοὶ δὲ βαριὰ, Χοβὸρ, καὶ Μελχιΐλ.
1657	ΓΕΝΕΣΙΣ 46:17	Μελχιΐλ	Yes	No	No	μελχιηλ	1.00	Yes	No	Yes	\vs{17}Υἱοὶ δὲ Ἀσὴρ, Ἰεμνα, Ἰεσσουὰ, καὶ Ἰεοὺλ, καὶ βαριὰ, καὶ Σάρα ἀδελφὴ αὐτῶν. Υἱοὶ δὲ βαριὰ, Χοβὸρ, καὶ Μελχιΐλ.
1660	ΓΕΝΕΣΙΣ 46:20	Ἀσενὲθ	Yes	No	No	ασεννεθ	1.00	Yes	No	Yes	\vs{20}Ἐγένοντο δὲ υἱοὶ Ἰωσὴφ ἐν γῇ Αἰγύπτου, οὓς ἔτεκεν αὐτῷ Ἀσενὲθ θυγάτηρ Πετεφρῆ ἱερέως Ἡλιουπόλεως, τὸν Μανασσῆ, καὶ τὸν Ἐφραίμ· ἐγένοντο δὲ υἱοὶ Μανασσῆ, οὓς ἔτεκεν αὐτῷ ἡ παλλακὴ ἡ Σύρα, τὸν Μαχίρ· Μαχὶρ δὲ ἐγέννησε τὸν Γαλαάδ· υἱοὶ δὲ Ἐφραὶμ ἀδελφοῦ Μανασσῆ, Σουταλαὰμ, καὶ Ταάμ· υἱοὶ δὲ Σουταλαὰμ, Ἐδώμ.
1660	ΓΕΝΕΣΙΣ 46:20	Ἡλιουπόλεως	Yes	No	No	ἡλίου πόλεως	1.00	Yes	No	Yes	\vs{20}Ἐγένοντο δὲ υἱοὶ Ἰωσὴφ ἐν γῇ Αἰγύπτου, οὓς ἔτεκεν αὐτῷ Ἀσενὲθ θυγάτηρ Πετεφρῆ ἱερέως Ἡλιουπόλεως, τὸν Μανασσῆ, καὶ τὸν Ἐφραίμ· ἐγένοντο δὲ υἱοὶ Μανασσῆ, οὓς ἔτεκεν αὐτῷ ἡ παλλακὴ ἡ Σύρα, τὸν Μαχίρ· Μαχὶρ δὲ ἐγέννησε τὸν Γαλαάδ· υἱοὶ δὲ Ἐφραὶμ ἀδελφοῦ Μανασσῆ, Σουταλαὰμ, καὶ Ταάμ· υἱοὶ δὲ Σουταλαὰμ, Ἐδώμ.
1662	ΓΕΝΕΣΙΣ 46:22	δεκαοκτώ	No	Yes	No	δέκα ὀκτώ	1.00	Yes	No	Yes	\vs{22}Οὗτοι υἱοὶ Ῥαχὴλ, οὓς ἔτεκε τῷ Ἰακώβ· πᾶσαι αἱ ψυχαὶ δεκαοκτώ.
1666	ΓΕΝΕΣΙΣ 46:26	ἑξηκονταέξ	No	Yes	No	ἑξήκοντα ἕξ	1.00	Yes	No	Yes	\vs{26}Πᾶσαι δὲ ψυχαὶ αἱ εἰσελθοῦσαι μετὰ Ἰακὼβ εἰς Αἴγυπτον, οἱ ἐξελθόντες ἐκ τῶν μηρῶν αὐτοῦ, χωρὶς τῶν γυναικῶν υἱῶν Ἰακὼβ, πᾶσαι αἱ ψυχαὶ, ἑξηκονταέξ·
1667	ΓΕΝΕΣΙΣ 46:27	ἑβδομηκονταπέντε	No	Yes	No	ἑβδομήκοντα πέντε	1.00	Yes	No	Yes	\vs{27}Υἱοὶ δὲ Ἰωσὴφ οἱ γενόμενοι αὐτῷ ἐν γῇ Αἰγύπτῳ, ψυχαὶ ἐννέα. Πᾶσαι ψυχαὶ οἴκου Ἰακὼβ, αἱ εἰσελθοῦσαι μετὰ Ἰακὼβ εἰς Αἴγυπτον, ψυχαὶ ἑβδομηκονταπέντε.
1708	ΓΕΝΕΣΙΣ 47:28	δεκαεπτὰ	No	Yes	No	δέκα ἑπτὰ	1.00	Yes	No	Yes	\vs{28}Ἐπέζησε δὲ Ἰακὼβ ἐν γῇ Αἰγύπτῳ δεκαεπτὰ ἔτη· καὶ ἐγένοντο αἱ ἡμέραι Ἰακὼβ ἐνιαυτῶν τῆς ζωῆς αὐτοῦ ἑκατὸν τεσσαρακονταεπτὰ ἔτη.
1708	ΓΕΝΕΣΙΣ 47:28	τεσσαρακονταεπτὰ	No	Yes	No	τεσσαράκοντα ἑπτὰ	1.00	Yes	No	Yes	\vs{28}Ἐπέζησε δὲ Ἰακὼβ ἐν γῇ Αἰγύπτῳ δεκαεπτὰ ἔτη· καὶ ἐγένοντο αἱ ἡμέραι Ἰακὼβ ἐνιαυτῶν τῆς ζωῆς αὐτοῦ ἑκατὸν τεσσαρακονταεπτὰ ἔτη.
