Line Number	Verse Reference	Word	Is Name?	Likely Typo?	Closest Match	Similarity	Full Line
30283	ΕΣΔΡΑΣ Α 5:37	κονταδύο	No	No			\vs{37}Καὶ οὐκ ἠδύναντο ἀπαγγεῖλαι τὰς πατριὰς αὐτῶν καὶ γενεὰς, ὡς ἐκ τοῦ Ἰσραήλ εἰσιν· υἱοὶ Δαλὰν τοῦ υἱοῦ τοῦ Βαενὰν, υἱοὶ Νεκωδὰν, ἑξακόσιοι πεντη· κονταδύο.
30291	ΕΣΔΡΑΣ Α 5:42	τριακονταεπτά	No	Yes	τριάκοντα ἕξ	0.83	\vs{42}Παῖδες τούτων καὶ παιδίσκαι, ἑπτακισχίλιοι τριακόσιοι τριακονταεπτά. ψάλται καὶ ψαλτῳδοὶ, διακόσιοι τεσσαρακονταπέντε·
30313	ΕΣΔΡΑΣ Α 5:58	Ἡλιαδοὺδ	Yes	No			\vs{58}Καὶ ἔστησαν τοὺς Λευίτας ἀπὸ εἰκοσαετοῦς ἐπὶ τῶν ἔργων τοῦ Κυρίου· καὶ ἔστη Ἰησοῦς, καὶ οἱ υἱοὶ, καὶ οἱ ἀδελφοὶ, καὶ Καδμιὴλ ὁ ἀδελφὸς, καὶ οἱ υἱοὶ Ἠμαδαβοὺν, καὶ οἱ υἱοὶ Ἰωδὰ τοῦ Ἡλιαδοὺδ σὺν τοῖς υἱοῖς καὶ ἀδελφοῖς, πάντες οἱ Λευῖται ὁμοθυμαδὸν ἐργοδιῶκται, ποιοῦντες εἰς τὰ ἔργα ἐν τῷ οἴκῳ τοῦ Κυρίου· καὶ ᾠκοδόμησαν οἱ οἰκοδόμοι τὸν ναὸν τοῦ Κυριου.
30437	ΕΣΔΡΑΣ Α 8:29	Ἰαθαμάρου	Yes	No			\vs{29}Ἐκ τῶν υἱῶν Φινεὲς, Γηρσών· ἐκ τῶν υἱῶν Ἰαθαμάρου, Γαμαλιήλ· ἐκ τῶν υἱῶν Λαυὶδ, Λαττοὺς ὁ Σεχενίου·
30932	ΤΩΒΙΤ 14:14	εἱκοσιεπτὰ	No	No			\vs{14}καὶ ἀπέθανεν ἐτῶν ἑκατὸν εἱκοσιεπτὰ ἐν Ἐκβατάνοις τῆς Μηδίας.
32007	ΣΟΦΙΑ ΣΕΙΡΑΧ 1:1	προλογος.	No	No			\lettrine[lines=2, loversize=0.2, nindent=0em, findent=.25em]{\textcolor{bookheadingcolor}{Π}}{ΡΟΛΟΓΟΣ.}
32599	ΣΟΦΙΑ ΣΕΙΡΑΧ 18:33	μαρσυπείῳ	No	No			\vs{33}Μὴ γίνου πτωχὸς συμβολοκοπῶν ἐκ δανεισμοῦ, καὶ οὐδέν σοι ἐστὶν ἐν μαρσυπείῳ.
32686	ΣΟΦΙΑ ΣΕΙΡΑΧ 21:9	Στυππεῖον	Yes	No			\vs{9}Στυππεῖον συνηγμένον συναγωγὴ ἀνόμων, καὶ ἡ συντέλεια αὐτῶν φλὸξ πυρός.
34463	ΜΑΚΚΑΒΑΙΩΝ Α 4:18	λήψετε	No	No			\vs{18}καὶ Γοργίας καὶ ἡ δύναμις ἐν τῷ ὄρει ἐγγὺς ἡμῶν· ἀλλὰ στῆτε νῦν ἐναντίον τῶν ἐχθρῶν ἡμῶν, καὶ πολεμήσατε αὐτοὺς, καὶ μετὰ ταῦτα λήψετε τὰ σκύλα μετὰ παῤῥησίας.
34886	ΜΑΚΚΑΒΑΙΩΝ Α 9:66	Ὀδοαῤῥὴν	Yes	No			\vs{66}Καὶ ἐπάταξεν Ὀδοαῤῥὴν, καὶ τοὺς ἀδελφοὺς αὐτοῦ, καὶ τοὺς υἱοὺς Φασιρὼν ἐν τῷ σκηνώματι αὐτῶν, καὶ ἐξήρξατο τύπτειν, καὶ ἀναβαίνειν ἐν δυνάμεσι·
34889	ΜΑΚΚΑΒΑΙΩΝ Α 9:69	ὠργίσθηθυμῷ	No	No			\vs{69}Καὶ ὠργίσθηθυμῷ τοῖς ἀνδράσι τοῖς ἀνόμοις τοῖς συμβουλεύσασιν αὐτῷ ἐλθεῖν εἰς τὴν χώραν, καὶ ἀπέκτειναν ἐξ αὐτῶν πολλούς, καὶ ἐβουλεύσατο τοῦ ἀπελθεῖν εἰς τὴν γῆν αὐτοῦ.
35605	ΜΑΚΚΑΒΑΙΩΝ Β 4:9	συγχωρηθῇ	No	No			\vs{9}πρὸς δὲ τούτοις ὑπισχνεῖτο καὶ ἕτερα διαγράψαι πεντήκοντα πρὸς τοῖς ἑκατόν, ἐὰν συγχωρηθῇ διὰ τῆς ἐξουσίας αὐτοῦ, γυμνάσιον καὶ ἐφηβίαν αὐτῷ συστήσασθαι, καὶ τοὺς ἐν Ἰεροσολύμοις Ἀντιοχεῖς ἀναγράψαι.
36028	ΜΑΚΚΑΒΑΙΩΝ Β 12:10	ἀποσπασθέντων	No	No			\vs{10}Ἐκεῖθεν δὲ ἀποσπασθέντων σταδίους ἐννέα, ποιουμένων τὴν πορείαν ἐπὶ τὸν Τιμόθεον, προσέβαλον Ἄραβες αὐτῷ οὐκ ἐλάττους τῶν πεντακισχιλίων, ἱππεῖς δὲ πεντακόσιοι.
36121	ΜΑΚΚΑΒΑΙΩΝ Β 14:3	ἐπιμιξίας	No	No			\vs{3}Ἄλκιμος δέ τις προγενόμενος ἀρχιερεὺς, ἑκουσίως δὲ μεμολυμμένος ἐν τοῖς τῆς ἐπιμιξίας χρόνοις, συννοήσας ὅτι καθʼ ὁντιναοῦν τρόπον οὐκ ἔστιν αὐτῷ σωτηρία, οὐδὲ πρὸς ἅγιον θυσιαστήριον ἔτι πρόσοδος,
36252	ΜΑΚΚΑΒΑΙΩΝ Γ 1:8	συγχαρησομένους	No	No			\vs{8}Τῶν δὲ Ἰουδαίων διαπεμψαμένων πρὸς αὐτὸν ἀπὸ τῆς γερουσίας καὶ τῶν πρεσβυτέρων τοὺς ἀσπασομένους αὐτὸν. Καὶ ξένια κομιοῦντας, καὶ ἐπὶ τοῖς συμβεβηκόσι συγχαρησομένους, συνέβη μᾶλλον αὐτὸν προθυμηθῆναι ὡς τάχιστα πρὸς αὐτοὺς παραγενέσθαι.
36603	ΜΑΚΚΑΒΑΙΩΝ Δ 1:27	νομοφαγία	No	No			\vs{27}κατὰ δὲ τὸ σῶμα, παντοφαγία, καὶ λαιμαργία, καὶ νομοφαγία.
36631	ΜΑΚΚΑΒΑΙΩΝ Δ 2:13	ἐπινομίσητε	No	No			\vs{13}Καὶ μὴ νομίσητε παράδοξον εἶναι, ὅπου καὶ ἔχθραν ὁ λογισμὸς ἐπινομίσητε παράδοξον εἶναι, ὅπου καὶ ἔχθραν ὁ λογισμὸς ἐπινομισητε παράδοξον εἶναι, ὅπου καὶ ἔχθραν ὁ λογισμὸς ἐπικρατεῖν δύναται διὰ τὸν νόμον,
36631	ΜΑΚΚΑΒΑΙΩΝ Δ 2:13	ἐπινομισητε	No	No			\vs{13}Καὶ μὴ νομίσητε παράδοξον εἶναι, ὅπου καὶ ἔχθραν ὁ λογισμὸς ἐπινομίσητε παράδοξον εἶναι, ὅπου καὶ ἔχθραν ὁ λογισμὸς ἐπινομισητε παράδοξον εἶναι, ὅπου καὶ ἔχθραν ὁ λογισμὸς ἐπικρατεῖν δύναται διὰ τὸν νόμον,
37118	ΜΑΚΚΑΒΑΙΩΝ Δ 16:7	δεκάηνοι	No	Yes	δεκάμηνοι	0.94	\vs{7}Ὦ μάταιοι ἐπτὰ κυοφορίαι, καὶ ἀνόνητοι ἐπτὰ δεκάηνοι, καὶ ἄκαρποι τιθηνίαι, καὶ ταλαίπωροι γαλακτοτροφίοι.
