Line Number	Verse Reference	Word	Full Line
837	ΓΕΝΕΣΙΣ 25:2	Ζομβρᾶν	\vs{2}Ἔτεκε δὲ αὐτῷ τὸν Ζομβρᾶν, καὶ τὸν Ἰεζὰν, καὶ τὸν Μαδὰλ, καὶ τὸν Μαδιὰμ, καὶ τὸν Ἰεσβὼκ, καὶ τὸν Σωίε.
837	ΓΕΝΕΣΙΣ 25:2	Ἰεζὰν	\vs{2}Ἔτεκε δὲ αὐτῷ τὸν Ζομβρᾶν, καὶ τὸν Ἰεζὰν, καὶ τὸν Μαδὰλ, καὶ τὸν Μαδιὰμ, καὶ τὸν Ἰεσβὼκ, καὶ τὸν Σωίε.
837	ΓΕΝΕΣΙΣ 25:2	Μαδὰλ	\vs{2}Ἔτεκε δὲ αὐτῷ τὸν Ζομβρᾶν, καὶ τὸν Ἰεζὰν, καὶ τὸν Μαδὰλ, καὶ τὸν Μαδιὰμ, καὶ τὸν Ἰεσβὼκ, καὶ τὸν Σωίε.
837	ΓΕΝΕΣΙΣ 25:2	Ἰεσβὼκ	\vs{2}Ἔτεκε δὲ αὐτῷ τὸν Ζομβρᾶν, καὶ τὸν Ἰεζὰν, καὶ τὸν Μαδὰλ, καὶ τὸν Μαδιὰμ, καὶ τὸν Ἰεσβὼκ, καὶ τὸν Σωίε.
837	ΓΕΝΕΣΙΣ 25:2	Σωίε	\vs{2}Ἔτεκε δὲ αὐτῷ τὸν Ζομβρᾶν, καὶ τὸν Ἰεζὰν, καὶ τὸν Μαδὰλ, καὶ τὸν Μαδιὰμ, καὶ τὸν Ἰεσβὼκ, καὶ τὸν Σωίε.
838	ΓΕΝΕΣΙΣ 25:3	Ἰεζὰν	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
838	ΓΕΝΕΣΙΣ 25:3	Δεδάν	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
838	ΓΕΝΕΣΙΣ 25:3	Δεδὰν	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
838	ΓΕΝΕΣΙΣ 25:3	Ἀσσουριεὶμ	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
838	ΓΕΝΕΣΙΣ 25:3	Λατουσιεὶμ	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
838	ΓΕΝΕΣΙΣ 25:3	Λαωμείμ	\vs{3}Ἰεζὰν δὲ ἐγέννησε τὸν Σαβὰ, καὶ τὸν Δεδάν· υἱοὶ δὲ Δεδὰν Ἀσσουριεὶμ, καὶ Λατουσιεὶμ, καὶ Λαωμείμ.
839	ΓΕΝΕΣΙΣ 25:4	Ἀφεὶρ	\vs{4}Υἱοὶ δὲ Μαδιὰμ Γεφὰρ, καὶ Ἀφεὶρ, καὶ Ἐνὼχ, καὶ Ἀβειδὰ, καὶ Ἐλδαγά· πάντες οὗτοι ἦσαν υἱοὶ Χεττούρας.
839	ΓΕΝΕΣΙΣ 25:4	Ἐλδαγά	\vs{4}Υἱοὶ δὲ Μαδιὰμ Γεφὰρ, καὶ Ἀφεὶρ, καὶ Ἐνὼχ, καὶ Ἀβειδὰ, καὶ Ἐλδαγά· πάντες οὗτοι ἦσαν υἱοὶ Χεττούρας.
842	ΓΕΝΕΣΙΣ 25:7	ἑβδομηκονταπεντε	\vs{7}Ταῦτα δὲ τὰ ἔτη ἡμερῶν τῆς ζωῆς Ἁβραὰμ ὅσα ἔζησεν, ἑκατὸν ἑβδομηκονταπεντε ἔτη.
849	ΓΕΝΕΣΙΣ 25:14	Δουμὰ	\vs{14}καὶ Μασμὰ, καὶ Δουμὰ, καὶ Μασσῆ,
852	ΓΕΝΕΣΙΣ 25:17	τριακονταεπτὰ	\vs{17}Καὶ ταῦτα τὰ ἔτη τῆς ζωῆς Ἰσμαὴλ, ἑκατὸν τριακονταεπτὰ ἔτη· καὶ ἐκλείπων ἀπέθανε, καὶ προσετέθη πρὸς τὸ γένος αὐτοῦ.
866	ΓΕΝΕΣΙΣ 25:29	ἕψημα	\vs{29}Ἥψησε δὲ Ἰακὼβ ἕψημα· ἦλθε δὲ Ἡσαῦ ἐκ τοῦ πεδίου ἐκλείπων.
871	ΓΕΝΕΣΙΣ 25:34	ἕψημα	\vs{34}Ἰακὼβ δὲ ἔδωκε τῷ Ἠσαῦ ἄρτον, καὶ ἕψημα φακοῦ· καὶ ἔφαγε καὶ ἔπιε, καὶ ἀναστὰς ᾤχετο· καὶ ἐφαύλισεν Ἡσαῦ τὰ πρωτοτόκια.
901	ΓΕΝΕΣΙΣ 26:26	Φιχὼλ	\vs{26}Καὶ Ἀβιμέλεχ ἐπορεύθη πρὸς αὐτὸν ἀπὸ Γεράρων, καὶ Ὁχοζὰθ ὁ νυμφαγωγὸς αὐτοῦ, καὶ Φιχὼλ ὁ ἀρχιστράτηγος τῆς δυνάμεως αὐτοῦ.
910	ΓΕΝΕΣΙΣ 26:34	Βεὼχ	\vs{34}Ἦν δὲ Ἡσαῦ ἐτῶν τεσσαράκοντα, καὶ ἔλαβε γυναῖκα Ἰουδὶθ, θυγατέρα Βεὼχ τοῦ Χετταίου, καὶ τὴν Βασεμὰθ, θυγατέρα Ἑλὼν Χετταίου.
910	ΓΕΝΕΣΙΣ 26:34	Βασεμὰθ	\vs{34}Ἦν δὲ Ἡσαῦ ἐτῶν τεσσαράκοντα, καὶ ἔλαβε γυναῖκα Ἰουδὶθ, θυγατέρα Βεὼχ τοῦ Χετταίου, καὶ τὴν Βασεμὰθ, θυγατέρα Ἑλὼν Χετταίου.
910	ΓΕΝΕΣΙΣ 26:34	Ἑλὼν	\vs{34}Ἦν δὲ Ἡσαῦ ἐτῶν τεσσαράκοντα, καὶ ἔλαβε γυναῖκα Ἰουδὶθ, θυγατέρα Βεὼχ τοῦ Χετταίου, καὶ τὴν Βασεμὰθ, θυγατέρα Ἑλὼν Χετταίου.
954	ΓΕΝΕΣΙΣ 27:39	Ἀποκοιθεὶς	\vs{39}Ἀποκοιθεὶς δὲ Ἰσαὰκ ὁ πατὴρ αὐτοῦ εἶπεν αὐτῷ, ἰδοὺ ἀπὸ τῆς πιότητος τῆς γῆς ἔσται ἡ κατοίκησίς σου, καὶ ἀπὸ τῆς δρόσου τοῦ οὐρανοῦ ἄνωθεν.
974	ΓΕΝΕΣΙΣ 28:9	Ναβεὼθ	\vs{9}ἐπορεύθη Ἡσαῦ πρὸς Ἰσμαήλ· καὶ ἔλαβε τὴν Μαελὲθ, θυγατέρα Ἰσμαὴλ τοῦ υἱοῦ Ἁβραὰμ, ἀδελφὴν Ναβεὼθ, πρὸς ταῖς γυναιξὶν αὐτοῦ γυναῖκα.
985	ΓΕΝΕΣΙΣ 28:19	Οὐλαμλοὺζ	\vs{19}Καὶ ἐκάλεσε τὸ ὄνομα τοῦ τόπου ἐκείνου, οἶκος Θεοῦ· καὶ Οὐλαμλοὺζ ἦν ὄνομα τῇ πόλει τὸ πρότερον.
1008	ΓΕΝΕΣΙΣ 29:17	σφάδρα	\vs{17}Οἱ δὲ ὀφθάλμοὶ Λείας, ἀσθενεῖς· Ῥαχῆλ δὲ ἦν καλὴ τῷ εἴδει, καὶ ὡραία τῇ ὄψει σφάδρα.
1016	ΓΕΝΕΣΙΣ 29:25	ἱνατί	\vs{25}Ἐγένετο δὲ πρωῒ, καὶ ἰδοὺ ἦν Λεία· εἶπε δὲ Ἰακὼβ τῷ Λάβαν, τί τοῦτο ἐποίησάς μοι; οὐ περὶ Ῥαχὴλ ἐδούλευσα παρὰ σοι; καὶ ἱνατί παρελογίσω με;
1037	ΓΕΝΕΣΙΣ 30:8	συναντελάβετό	\vs{8}Καὶ εἶπε Ῥαχὴλ, συναντελάβετό μου ὁ Θεὸς, καὶ συνανεστράφην τῇ ἀδελφῇ μου, καὶ ἠδυνάσθην· καὶ ἐκάλεσε τὸ ὄνομα αὐτοῦ, Νεφθαλεί.
1101	ΓΕΝΕΣΙΣ 31:26	ἱνατί	\vs{26}Εἶπε δὲ Λάβαν τῷ Ἰακὼβ, τί ἐποίησας; ἱνατί κρυφῇ ἀπέδρας, καὶ ἐκλοποφόρησάς με, καὶ ἀπήγαγες τὰς θυγατέρας μου, ὡς αἰχμαλώτιδας μαχαίρᾳ;
1105	ΓΕΝΕΣΙΣ 31:30	ἱνατί	\vs{30}Νῦν οὖν πεπόρευσαι· ἐπιθυμίᾳ γὰρ ἐπεθύμησας ἀπελθεῖν εἰς τὸν οἶκον τοῦ πατρός σου· ἱνατί ἔκλεψας τοὺς θεούς μου;
