Line Number	Verse Reference	Word	Matched Variation	Verse Match?	Area Match?	Full Line
974	ΓΕΝΕΣΙΣ 28:9	Ναβεὼθ	ναβαιωθ	Yes	No	\vs{9}ἐπορεύθη Ἡσαῦ πρὸς Ἰσμαήλ· καὶ ἔλαβε τὴν Μαελὲθ, θυγατέρα Ἰσμαὴλ τοῦ υἱοῦ Ἁβραὰμ, ἀδελφὴν Ναβεὼθ, πρὸς ταῖς γυναιξὶν αὐτοῦ γυναῖκα.
1116	ΓΕΝΕΣΙΣ 31:41	δεκατέσσαρα	δέκα τέσσαρα	Yes	No	\vs{41}Ταῦτά μοι εἴκοσι ἔτη ἐγώ εἰμι ἐν τῇ οἰκίᾳ σου· ἐδούλευσά σοι δεκατέσσαρα ἔτη ἀντὶ τῶν δύο θυγατέρων σου, καὶ ἓξ ἔτη ἐν τοῖς προβάτοις σου, καὶ παρελογίσω τὸν μισθόν μου δέκα ἀμνάσιν.
1188	ΓΕΝΕΣΙΣ 33:18	Σηκίμων	σικιμων	Yes	No	\vs{18}Καὶ ἦλθεν Ἰακὼβ εἰς Σαλὴμ, πόλιν Σηκίμων, ἥ ἐστιν ἐν γῇ Χαναὰν, ὅτε ἐπανῆλθεν ἐκ τῆς Μεσοποταμίας Συρίας· καὶ παρενέλαβε κατὰ πρόσωπον τῆς πόλεως.
1231	ΓΕΝΕΣΙΣ 35:4	Σηκίμοις	σικιμοις	Yes	No	\vs{4}Καὶ ἔδωκαν τῷ Ἰακὼβ τοὺς θεοὺς τοὺς ἀλλοτρίους, οἳ ἦσαν ἐν ταῖς χερσὶν αὐτῶν, καὶ τὰ ἐνώτια τὰ ἐν τοῖς ὠσὶν αὐτῶν· καὶ κατέκρυψεν αὐτὰ Ἰακὼβ ὑπὸ τὴν τερέβινθον τὴν ἐν Σηκίμοις· καὶ ἀπώλεσεν αὐτὰ, ἕως τῆς σήμερον ἡμέρας.
1232	ΓΕΝΕΣΙΣ 35:5	Σηκίμων	σικιμων	Yes	No	\vs{5}Καὶ ἐξῇρεν Ἰσραὴλ ἐκ Σηκίμων· καὶ ἐγένετο φόβος Θεοῦ ἐπὶ τὰς πόλεις τὰς κύκλῳ αὐτῶν, καὶ οὐ κατεδίωξαν ὀπίσω τῶν υἱῶν Ἰσραήλ.
1271	ΓΕΝΕΣΙΣ 36:11	Γοθὼμ	γοθομ	Yes	No	\vs{11}Ἐγένοντο δὲ Ἑλιφὰς υἱοὶ, Θαιμὰν, Ὠμὰρ, Σωφὰρ, Γοθὼμ, καὶ Κενέζ.
1273	ΓΕΝΕΣΙΣ 36:13	Ναχὼθ	ναχοθ	Yes	No	\vs{13}Οὗτοι δὲ υἱοὶ Ῥαγουὴλ, Ναχὼθ, Ζαρὲ, Σομὲ, καὶ Μοζέ· οὗτοι ἦσαν υἱοὶ Βασεμὰθ γυναικὸς Ἡσαῦ.
1276	ΓΕΝΕΣΙΣ 36:16	Γοθὼμ	γοθομ	Yes	No	\vs{16}ἡγεμὼν Κορὲ, ἡγεμὼν Γοθὼμ, ἡγεμὼν Ἀμαλήκ· οὗτοι ἡγεμόνες Ἑλιφὰς ἐν γῇ Ἰδουμαίᾳ· οὗτοι υἱοὶ Ἀδάς.
1277	ΓΕΝΕΣΙΣ 36:17	Ναχὼθ	ναχοθ	Yes	No	\vs{17}Καὶ οὗτοι υἱοὶ Ῥαγουὴλ υἱοῦ Ἡσαῦ· ἡγεμὼν Ναχὼθ, ἡγεμὼν Ζαρὲ, ἡγεμὼν Σομὲ, ἡγεμὼν Μοζέ· οὗτοι ἡγεμόνες Ῥαγουὴλ ἐν γῇ Ἐδώμ· οὗτοι υἱοὶ Βασεμὰθ γυναικὸς Ἡσαῦ.
1287	ΓΕΝΕΣΙΣ 36:27	Ἰουκάμ	ιωυκαμ	Yes	No	\vs{27}Οὗτοι δὲ υἱοὶ Ἀσάρ· Βαλαὰμ, καὶ Ζουκὰμ, καὶ Ἰουκάμ.
1297	ΓΕΝΕΣΙΣ 36:36	Μασσεκκάς	μασεκκας	Yes	No	\vs{36}Ἀπέθανε δὲ Ἀδὰδ, καὶ ἐβασίλευσεν ἀντʼ αὐτοῦ Σαμαδὰ ἐκ Μασσεκκάς.
1300	ΓΕΝΕΣΙΣ 36:39	Μαιζοώβ	μαιζοοβ	Yes	No	\vs{39}Ἀπέθανε δὲ Βαλλενὼν υἱὸς Ἀχοβὼρ, καὶ ἐβασίλευσεν ἀντʼ αὐτοῦ Ἀρὰδ υἱὸς Βαράδ· καὶ ὄνομα τῇ πόλει αὐτοῦ Φογώρ· ὄνομα δὲ τῇ γυναικὶ αὐτοῦ Μετεβεὴλ, θυγάτηρ Ματραῒθ, υἱοῦ Μαιζοώβ.
1304	ΓΕΝΕΣΙΣ 36:43	Ζαφωίν	ζαφωεί	Yes	No	\vs{43}ἡγεμὼν Μαγεδιὴλ, ἡγεμὼν Ζαφωίν· οὗτοι ἡγεμόνες Ἐδὼμ, ἐν ταῖς κατῳκοδομημέναις ἐν τῇ γῇ τῆς κτήσεως αὐτῶν· οὗτος Ἡσαῦ πατὴρ Ἐδώμ.
1477	ΓΕΝΕΣΙΣ 41:45	Ἀσενὲθ	ασεννεθ	Yes	No	\vs{45}Καὶ ἐκάλεσε Φαραὼ τὸ ὄνομα Ἰωσὴφ, Ψονθομφανήχ· καὶ ἔδωκεν αὐτῷ τὴν Ἀσενὲθ θυγατέρα Πετεφρῆ ἱερέως Ἡλιουπόλεως αὐτῷ εἰς γυναῖκα.
1477	ΓΕΝΕΣΙΣ 41:45	Ἡλιουπόλεως	ἡλίου πόλεως	Yes	No	\vs{45}Καὶ ἐκάλεσε Φαραὼ τὸ ὄνομα Ἰωσὴφ, Ψονθομφανήχ· καὶ ἔδωκεν αὐτῷ τὴν Ἀσενὲθ θυγατέρα Πετεφρῆ ἱερέως Ἡλιουπόλεως αὐτῷ εἰς γυναῖκα.
1483	ΓΕΝΕΣΙΣ 41:50	Ἀσενὲθ	ασεννεθ	Yes	No	\vs{50}Τῷ δὲ Ἰωσὴφ ἐγένοντο υἱοὶ δύο πρὸ τοῦ ἐλθεῖν τὰ ἑπτὰ ἔτη τοῦ λιμοῦ, οὓς ἔτεκεν αὐτῷ Ἀσενὲθ ἡ θυγάτηρ Πετεφρῆ ἱερέως Ἡλιουπόλεως.
1483	ΓΕΝΕΣΙΣ 41:50	Ἡλιουπόλεως	ἡλίου πόλεως	Yes	No	\vs{50}Τῷ δὲ Ἰωσὴφ ἐγένοντο υἱοὶ δύο πρὸ τοῦ ἐλθεῖν τὰ ἑπτὰ ἔτη τοῦ λιμοῦ, οὓς ἔτεκεν αὐτῷ Ἀσενὲθ ἡ θυγάτηρ Πετεφρῆ ἱερέως Ἡλιουπόλεως.
1656	ΓΕΝΕΣΙΣ 46:16	Ἀηδεὶς	αηδις	Yes	No	\vs{16}Υἱοὶ δὲ Γάδ, Σαφὼν, καὶ Ἀγγὶς, καὶ Σαννὶς, καὶ Θασοβὰν, καὶ Ἀηδεὶς, καὶ Ἀροηδεὶς, καὶ Ἀρεηλείς.
1656	ΓΕΝΕΣΙΣ 46:16	Ἀροηδεὶς	αροηδις	Yes	No	\vs{16}Υἱοὶ δὲ Γάδ, Σαφὼν, καὶ Ἀγγὶς, καὶ Σαννὶς, καὶ Θασοβὰν, καὶ Ἀηδεὶς, καὶ Ἀροηδεὶς, καὶ Ἀρεηλείς.
1657	ΓΕΝΕΣΙΣ 46:17	Ἰεσσουὰ	ιεσουα	Yes	No	\vs{17}Υἱοὶ δὲ Ἀσὴρ, Ἰεμνα, Ἰεσσουὰ, καὶ Ἰεοὺλ, καὶ βαριὰ, καὶ Σάρα ἀδελφὴ αὐτῶν. Υἱοὶ δὲ βαριὰ, Χοβὸρ, καὶ Μελχιΐλ.
1657	ΓΕΝΕΣΙΣ 46:17	Μελχιΐλ	μελχιηλ	Yes	No	\vs{17}Υἱοὶ δὲ Ἀσὴρ, Ἰεμνα, Ἰεσσουὰ, καὶ Ἰεοὺλ, καὶ βαριὰ, καὶ Σάρα ἀδελφὴ αὐτῶν. Υἱοὶ δὲ βαριὰ, Χοβὸρ, καὶ Μελχιΐλ.
1660	ΓΕΝΕΣΙΣ 46:20	Ἀσενὲθ	ασεννεθ	Yes	No	\vs{20}Ἐγένοντο δὲ υἱοὶ Ἰωσὴφ ἐν γῇ Αἰγύπτου, οὓς ἔτεκεν αὐτῷ Ἀσενὲθ θυγάτηρ Πετεφρῆ ἱερέως Ἡλιουπόλεως, τὸν Μανασσῆ, καὶ τὸν Ἐφραίμ· ἐγένοντο δὲ υἱοὶ Μανασσῆ, οὓς ἔτεκεν αὐτῷ ἡ παλλακὴ ἡ Σύρα, τὸν Μαχίρ· Μαχὶρ δὲ ἐγέννησε τὸν Γαλαάδ· υἱοὶ δὲ Ἐφραὶμ ἀδελφοῦ Μανασσῆ, Σουταλαὰμ, καὶ Ταάμ· υἱοὶ δὲ Σουταλαὰμ, Ἐδώμ.
1660	ΓΕΝΕΣΙΣ 46:20	Ἡλιουπόλεως	ἡλίου πόλεως	Yes	No	\vs{20}Ἐγένοντο δὲ υἱοὶ Ἰωσὴφ ἐν γῇ Αἰγύπτου, οὓς ἔτεκεν αὐτῷ Ἀσενὲθ θυγάτηρ Πετεφρῆ ἱερέως Ἡλιουπόλεως, τὸν Μανασσῆ, καὶ τὸν Ἐφραίμ· ἐγένοντο δὲ υἱοὶ Μανασσῆ, οὓς ἔτεκεν αὐτῷ ἡ παλλακὴ ἡ Σύρα, τὸν Μαχίρ· Μαχὶρ δὲ ἐγέννησε τὸν Γαλαάδ· υἱοὶ δὲ Ἐφραὶμ ἀδελφοῦ Μανασσῆ, Σουταλαὰμ, καὶ Ταάμ· υἱοὶ δὲ Σουταλαὰμ, Ἐδώμ.
1662	ΓΕΝΕΣΙΣ 46:22	δεκαοκτώ	δέκα ὀκτώ	Yes	No	\vs{22}Οὗτοι υἱοὶ Ῥαχὴλ, οὓς ἔτεκε τῷ Ἰακώβ· πᾶσαι αἱ ψυχαὶ δεκαοκτώ.
1666	ΓΕΝΕΣΙΣ 46:26	ἑξηκονταέξ	ἑξήκοντα ἕξ	Yes	No	\vs{26}Πᾶσαι δὲ ψυχαὶ αἱ εἰσελθοῦσαι μετὰ Ἰακὼβ εἰς Αἴγυπτον, οἱ ἐξελθόντες ἐκ τῶν μηρῶν αὐτοῦ, χωρὶς τῶν γυναικῶν υἱῶν Ἰακὼβ, πᾶσαι αἱ ψυχαὶ, ἑξηκονταέξ·
1667	ΓΕΝΕΣΙΣ 46:27	ἑβδομηκονταπέντε	ἑβδομήκοντα πέντε	Yes	No	\vs{27}Υἱοὶ δὲ Ἰωσὴφ οἱ γενόμενοι αὐτῷ ἐν γῇ Αἰγύπτῳ, ψυχαὶ ἐννέα. Πᾶσαι ψυχαὶ οἴκου Ἰακὼβ, αἱ εἰσελθοῦσαι μετὰ Ἰακὼβ εἰς Αἴγυπτον, ψυχαὶ ἑβδομηκονταπέντε.
1708	ΓΕΝΕΣΙΣ 47:28	δεκαεπτὰ	δέκα ἑπτὰ	Yes	No	\vs{28}Ἐπέζησε δὲ Ἰακὼβ ἐν γῇ Αἰγύπτῳ δεκαεπτὰ ἔτη· καὶ ἐγένοντο αἱ ἡμέραι Ἰακὼβ ἐνιαυτῶν τῆς ζωῆς αὐτοῦ ἑκατὸν τεσσαρακονταεπτὰ ἔτη.
1708	ΓΕΝΕΣΙΣ 47:28	τεσσαρακονταεπτὰ	τεσσαράκοντα ἑπτὰ	Yes	No	\vs{28}Ἐπέζησε δὲ Ἰακὼβ ἐν γῇ Αἰγύπτῳ δεκαεπτὰ ἔτη· καὶ ἐγένοντο αἱ ἡμέραι Ἰακὼβ ἐνιαυτῶν τῆς ζωῆς αὐτοῦ ἑκατὸν τεσσαρακονταεπτὰ ἔτη.
1986	ΕΞΟΔΟΣ 7:7	ὀγδοήκοντατριῶν	ὀγδοήκοντα τριῶν	Yes	No	\vs{7}Μωυσῆς δὲ ἦν ἐτῶν ὀγδοήκοντα, Ἀαρὼν δὲ ὁ ἀδελφὸς αὐτοῦ ἐτῶν ὀγδοήκοντατριῶν, ἡνίκα ἐλάλησεν πρὸς Φαραώ.
2204	ΕΞΟΔΟΣ 13:20	Ὀθὼμ	οθομ	Yes	No	\vs{20}Ἐξάραντες δὲ οἱ υἱοὶ Ἰσραὴλ ἐκ Σοκχὼθ, ἐστρατοπέδευσαν ἐν Ὀθὼμ παρὰ τὴν ἔρημον.
2513	ΕΞΟΔΟΣ 23:16	πρωτογεννημάτων	πρωτογενημάτων	Yes	No	\vs{16}Καὶ ἑορτὴν θερισμοῦ πρωτογεννημάτων ποιήσεις τῶν ἔργων σου, ὧν ἐὰν σπείρῃς ἐν τῷ ἀγρῷ σου, καὶ ἑορτὴν συντελείας ἐπʼ ἐξόδου τοῦ ἐνιαυτοῦ ἐν τῇ συναγωγῇ τῶν ἔργων σου τῶν ἐκ τοῦ ἀγροῦ σου.
2563	ΕΞΟΔΟΣ 25:10	πήχεως	πήχεος	Yes	No	\vs{10}Καὶ ποιήσεις κιβωτὸν μαρτυρίου ἐκ ξύλων ἀσήπτων, δύο πήχεων καὶ ἡμίσους τὸ μῆκος, καὶ πήχεος καὶ ἡμίσους τὸ πλάτος, καὶ πήχεως καὶ ἡμίσους τὸ ὕψος.
2570	ΕΞΟΔΟΣ 25:17	πήχεως	πήχεος	Yes	No	\vs{17}Καὶ ποιήσεις ἱλαστήριον ἐπίθεμα χρυσίου καθαροῦ, δύο πήχεων καὶ ἡμίσους τὸ μῆκος, καὶ πήχεως καὶ ἡμίσους τὸ πλάτος.
2576	ΕΞΟΔΟΣ 25:23	πήχεως	πήχεος	Yes	No	\vs{23}Καὶ ποιήσεις τράπεζαν χρυσῆν χρυσίου καθαροῦ, δύο πήχεων τὸ μῆκος, καὶ πήχεως τὸ εὖρος, καὶ πήχεως καὶ ἡμίσους τὸ ὕψος.
2576	ΕΞΟΔΟΣ 25:23	πήχεως	πήχεος	Yes	No	\vs{23}Καὶ ποιήσεις τράπεζαν χρυσῆν χρυσίου καθαροῦ, δύο πήχεων τὸ μῆκος, καὶ πήχεως τὸ εὖρος, καὶ πήχεως καὶ ἡμίσους τὸ ὕψος.
2584	ΕΞΟΔΟΣ 25:30	διαπαντός	διὰ παντός	Yes	No	\vs{30}Καὶ ἐπιθήσεις ἐπὶ τὴν τράπεζαν ἄρτους ἐνωπίους ἐναντίον μου διαπαντός.
2607	ΕΞΟΔΟΣ 26:10	ἀναμέσον	ἀνὰ μέσον	Yes	No	\vs{10}Καὶ ποιήσεις ἀγκύλας πεντήκοντα ἐπὶ τοῦ χείλους τῆς δέῤῥεως τῆς μιᾶς, τῆς ἀναμέσον κατὰ συμβολήν· καὶ πεντήκοντα ἀγκύλας ποιήσεις ἐπὶ τοῦ χείλους τῆς δέῤῥεως, τῆς συναπτούσης τῆς δευτέρας.
2615	ΕΞΟΔΟΣ 26:16	πήχεως	πήχεος	Yes	No	\vs{16}Δέκα πήχεων ποιήσεις τὸν στύλον τὸν ἕνα, καὶ πήχεως ἑνὸς καὶ ἡμίσους τὸ πλάτος τοῦ στύλου τοῦ ἑνός.
2627	ΕΞΟΔΟΣ 26:28	ἀναμέσον	ἀνὰ μέσον	Yes	No	\vs{28}Καὶ ὁ μοχλὸς ὁ μέσος ἀναμέσον τῶν στύλων διϊκνείσθω ἀπὸ τοῦ ἑνὸς κλίτους εἰς τὸ ἕτερον κλίτος.
2633	ΕΞΟΔΟΣ 26:33	ἀναμέσον	ἀνὰ μέσον	Yes	No	\vs{33}Καὶ θήσεις τὸ καταπέτασμα ἐπὶ τῶν στύλων· καὶ εἰσοίσεις ἐκεῖ ἐσώτερον τοῦ καταπετάσματος τὴν κιβωτὸν τοῦ μαρτυρίου· καὶ διοριεῖ τὸ καταπέτασμα ὑμῖν ἀναμέσον τοῦ ἁγίου καὶ ἀναμέσον τοῦ ἁγίου τῶν ἁγίων.
2633	ΕΞΟΔΟΣ 26:33	ἀναμέσον	ἀνὰ μέσον	Yes	No	\vs{33}Καὶ θήσεις τὸ καταπέτασμα ἐπὶ τῶν στύλων· καὶ εἰσοίσεις ἐκεῖ ἐσώτερον τοῦ καταπετάσματος τὴν κιβωτὸν τοῦ μαρτυρίου· καὶ διοριεῖ τὸ καταπέτασμα ὑμῖν ἀναμέσον τοῦ ἁγίου καὶ ἀναμέσον τοῦ ἁγίου τῶν ἁγίων.
2654	ΕΞΟΔΟΣ 27:15	δεκαπέντε	δέκα πέντε	Yes	No	\vs{15}Καὶ τὸ κλίτος τὸ δεύτερον δεκαπέντε πήχεων τῶν ἱστίων τὸ ὕψος· στύλοι αὐτῶν τρεῖς, καὶ αἱ βάσεις αὐτῶν τρεῖς.
2660	ΕΞΟΔΟΣ 27:20	διαπαντός	διὰ παντός	Yes	No	\vs{20}Καὶ σὺ σύνταξον τοῖς υἱοῖς Ἰσραὴλ, καὶ λαβέτωσάν σοι ἔλαιον ἐξ ἐλαιῶν ἀτρυγον καθαρὸν κεκομμένον εἰς φῶς καῦσαι, ἵνα καίηται λύχνος διαπαντός
