Line Number	Verse Reference	Word	Suggested Fix	Full Line
2317	ΕΞΟΔΟΣ 17:4	καταλιθοβολὴσουσί	καταλιθοβολήσουσί	\vs{4}Ἐβόησε δὲ Μωυσῆς πρὸς Κύριον, λέγων, τί ποιήσω τῷ λαῷ τούτῳ; ἔτι μικρὸν, καὶ καταλιθοβολὴσουσί με.
2402	ΕΞΟΔΟΣ 20:11	θὰλασσαν	θάλασσαν	\vs{11}Ἐν γὰρ ἓξ ἡμέραις ἐποίησε Κύριος τὸν οὐρανὸν καὶ τὴν γῆν καὶ τὴν θὰλασσαν καὶ πάντα τὰ ἐν αὐτοῖς, καὶ κατέπαυσε τῇ ἡμέρᾳ τῇ ἑβδόμῃ· διὰ τοῦτο εὐλόγησε Κύριος τὴν ἡμέραν τὴν ἑβδόμην, καὶ ἡγίασεν αὐτήν.
2689	ΕΞΟΔΟΣ 28:30	ὃταν	ὅταν	\vs{30}Καὶ ἐπιθήσεις ἐπὶ τὸ λογεῖον τῆς κρίσεως τὴν δήλωσιν καὶ τὴν ἀλήθειαν· καὶ ἔσται ἐπὶ τοῦ στήθους Ἀαρὼν, ὃταν εἰσπορεύεται εἰς τὸ ἅγιον ἔναντὶ Κυρίου· καὶ οἴσει Ἀαρὼν τὰς κρίσεις τῶν υἱῶν Ἰσραὴλ ἐπὶ τοῦ στήθους ἔναντι Κυρίου διαπαντός.
2849	ΕΞΟΔΟΣ 32:27	ἓκαστος	ἕκαστος	\vs{27}Καὶ λέγει αὐτοῖς τάδε λέγει Κύριος ὁ Θεὸς Ἰσραήλ θέσθε ἕκαστος τὴν ἑαυτοῦ ῥομφαίανν ἐπὶ τὸν μηρὸν, καὶ διέλθατε καὶ ἀνακάμψατε ἀπὸ πύλης ἐπὶ πύλην διὰ τῆς παρεμβολῆς, καὶ ἀποκτείνατε ἕκαστος τὸν ἀδελφὸν αὐτοῦ, καὶ ἕκαστος τὸν πλησίον αὐτοῦ, καὶ ἓκαστος τὸν ἔγγιστα αὐτοῦ.
3006	ΕΞΟΔΟΣ 37:3	ὑφαντὸυ	ὑφαντόυ	\vs{3}καὶ ἐποίησαν τὸ καταπέτασμα ἐξ ὑακίνθου, καὶ πορφύρας, καὶ κοκκίνου νενησμένου, καὶ βύσσου κεκλωσμένης, ἔργον ὑφαντὸυ χερουβείμ·
3008	ΕΞΟΔΟΣ 37:5	ὑφαντὸντοῦ	ὑφαντόντοῦ	\vs{5}καὶ ἐποίησαν τὸ καταπέτασμα τῆς θύρας τῆς σκηνῆς τοῦ μαρτυρίου ἐξ ὑακίνθου, καὶ πορφύρας, καὶ κοκκίνου νενησμένου, καὶ βύσσου κεκλωσμένης, ἔργον ὑφαντὸντοῦ χερουβείμ·
3082	ΕΞΟΔΟΣ 39:22	Ὃσα	Ὅσα	\vs{22}Ὃσα συνέταξε Κύριος τῷ Μωυσῇ, οὕτως ἐποίησαν οἱ υἱοὶ Ἰσραὴλ πᾶσαν τὴν ἀποσκευήν·
3268	ΛΕΥΙΤΙΚΟΝ 6:13	τὸπρωῒ	τόπρωῒ	\vs{13}τοῦτο τὸ δῶρον Ἀαρὼν καὶ τῶν υἱῶν αὐτοῦ, ὃ προσοίσουσι Κυρίῳ ἐν τῇ ἡμέρᾳ, ᾗ ἂν χρίσῃς αὐτόν· τὸ δέκατον τοῦ οἰφὶ σεμιδάλεως εἰς θυσίαν διαπαντὸς, τὸ ἥμισυ αὐτῆς τὸπρωῒ, καὶ τὸ ἥμισυ αὐτῆς τοδειλινόν.
3689	ΛΕΥΙΤΙΚΟΝ 17:4	αὶμα	αίμα	\vs{4}καὶ ἐπὶ τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου μὴ ἐνέγκῃ, ὥστε ποιῆσαι αὐτὸ εἰς ὁλοκαύτωμα ἢ σωτήριον Κυρίῳ δεκτὸν εἰς ὀσμὴν εὐωδίας· καὶ ὃς ἂν σφάξῃ ἔξω, καὶ ἐπὶ τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου μὴ ἐνέγκῃ αὐτὸ, ὥστε προσενέγκαι δῶρον τῷ Κυρίῳ ἀπέναντι τῆς σκηνῆς Κυρίου· καὶ λογισθήσεται τῷ ἀνθρώπῳ ἐκείνῳ αἷμα· αὶμα ἐξέχεεν· ἐξολοθρευθήσεται ἡ ψυχὴ ἐκείνη ἐκ τοῦ λαοῦ αὐτῆς.
3919	ΛΕΥΙΤΙΚΟΝ 23:37	Κυρὶῳ	Κυρίῳ	\vs{37}Αὗται ἑορταὶ Κυρὶῳ, ἃς καλέσετε κλητὰς ἁγίας, ὥστε προσενέγκαι καρπώματα τῷ Κυρίῳ, ὁλοκαυτώματα καὶ θυσίας αὐτῶν, καὶ σπονδὰς αὐτῶν τὸ καθʼ ἡμέραν εἰς ἡμέραν·
3995	ΛΕΥΙΤΙΚΟΝ 25:37	τὸκῳ	τόκῳ	\vs{37}Τὸ ἀργύριόν σου οὐ δώσεις αὐτῷ ἐπὶ τὸκῳ, καὶ ἐπὶ πλεονασμῷ οὐ δώσεις αὐτῷ τὰ βρώματά σου.
4385	ΑΡΙΘΜΟΙ 6:5	ἓως	ἕως	\vs{5}ξυρὸν οὐκ ἐπελεύσεται ἐπὶ τὴν κεφαλὴν αὐτοῦ, ἓως ἄν πληρωθῶσιν αἱ ἡμέραι, ὅσας ηὐξατο Κυρίῳ· ἅγιος ἔσται τρέφων κόμην τρίχα κεφαλῆς πάσας τὰς ἡμέρας τῆς εὐχῆς Κυρίῳ·
4890	ΑΡΙΘΜΟΙ 17:17	ἐπὶγραψον	ἐπίγραψον	\vs{17}λάλησον τοῖς υἱοῖς Ἰσραὴλ, καὶ λάβε παρʼ αὐτῶν ῥάβδον, ῥάβδον κατʼ οἴκους πατριῶν παρὰ πάντων τῶν ἀρχόντων αὐτῶν, κατʼ οἴκους πατριῶν αὐτῶν, δώδεκα ῥάβδους, καὶ ἑκάστου τὸ ὄνομα αὐτοῦ ἐπὶγραψον ἐπὶ τῆς ῥάβδου.
5291	ΑΡΙΘΜΟΙ 27:17	ὃστις	ὅστις	\vs{17}ὅστις ἐξελεύσεται πρὸ προσώπου αὐτῶν, καὶ ὅστις εἰσελεύσεται πρὸ προσώπου αὐτῶν, καὶ ὅστις ἐξάξει αὐτοὺς, καὶ ὃστις εἰσάξει αὐτοὺς, καὶ οὐκ ἔσται ἡ συναγωγὴ Κυρίου ὡσεὶ πρόβατα οἷς οὐκ ἔστι ποιμήν.
5799	ΔΕΥΤΕΡΟΝΟΜΙΟΝ 3:11	κλὶνη	κλίνη	\vs{11}Ὅτι πλὴν Ὢγ βασιλεὺς Βασὰν κατελείφθη ἀπὸ τῶν Ῥαφαΐν· ἰδοὺ ἡ κλὶνη αὐτοῦ κλὶνη σιδηρᾶ, ἰδοὺ αὕτη ἐν τῇ ἄκρᾳ τῶν υἱῶν Ἀμμών· ἐννέα πήχεων τὸ μηκος αὐτῆς, καὶ τεσσάρων πήχεων τὸ εὖρος αὐτῆς ἐν πήχει ἀνδρός.
5799	ΔΕΥΤΕΡΟΝΟΜΙΟΝ 3:11	κλὶνη	κλίνη	\vs{11}Ὅτι πλὴν Ὢγ βασιλεὺς Βασὰν κατελείφθη ἀπὸ τῶν Ῥαφαΐν· ἰδοὺ ἡ κλὶνη αὐτοῦ κλὶνη σιδηρᾶ, ἰδοὺ αὕτη ἐν τῇ ἄκρᾳ τῶν υἱῶν Ἀμμών· ἐννέα πήχεων τὸ μηκος αὐτῆς, καὶ τεσσάρων πήχεων τὸ εὖρος αὐτῆς ἐν πήχει ἀνδρός.
6316	ΔΕΥΤΕΡΟΝΟΜΙΟΝ 18:16	μὲγα	μέγα	\vs{16}Κατὰ πάντα ὅσα ᾐτήσω παρὰ Κυρίου τοῦ Θεοῦ σου ἐν Χωρὴβ τῇ ἡμέρᾳ τῆς ἐκκλησίας, λέγοντες, οὐ προσθήσομεν ἀκοῦσαι τὴν φωνὴν Κυρίου τοῦ Θεοῦ σου, καὶ τὸ πῦρ τοῦτο τὸ μὲγα οὐκ ὀψόμεθα ἔτι, οὐδὲ μὴ ἀποθάνωμεν.
6572	ΔΕΥΤΕΡΟΝΟΜΙΟΝ 27:17	πλησὶον	πλησίον	\vs{17}Ἐπικατάρατος ὁ μετατιθεὶς ὅρια τοῦ πλησὶον· καὶ ἐροῦσι πᾶς ὁ λαός, γένοιτο.
6673	ΔΕΥΤΕΡΟΝΟΜΙΟΝ 29:5	ὃτι	ὅτι	\vs{5}Ἄρτον οὐκ ἐφάγετε, οἶνον καὶ σίκερα οὐκ ἐπίετε, ἵνα γνῶτε ὃτι Κύριος ὁ Θεὸς ὑμῶν ἐγώ.
7029	ΙΗΣΟΥΣ ΝΑΥΗ 6:17	Κυρὶῳ	Κυρίῳ	\vs{17}Καὶ ἔσται ἡ πόλις ἀνάθεμα, αὐτὴ καὶ πάντα ὅσα ἐστὶν ἐν αὐτῇ, Κυρὶῳ σαβαώθ· πλὴν Ῥαὰβ τὴν πόρνην περιποιήσασθε αὐτὴν, καὶ πάντα ὅσα ἐστὶν ἐν τῷ οἴκῳ αὐτῆς.
7031	ΙΗΣΟΥΣ ΝΑΥΗ 6:19	Κυρὶῳ	Κυρίῳ	\vs{19}Καὶ πᾶν ἀργύριον ἢ χρυσίον, ἢ χαλκὸς ἢ σίδηρος, ἅγιον ἔσται τῷ Κυρὶῳ· εἰς θησαυρὸν Κυρίου εἰσενεχθήσεται.
7100	ΙΗΣΟΥΣ ΝΑΥΗ 8:19	καὶτὴν	καίτὴν	\vs{19}καὶ τὰ ἔνεδρα ἐξανέστησαν ἐν τάχει ἐκ τοῦ τόπου αὐτῶν· καὶ ἐξήλθοσαν ὅτε ἐξέτεινε τὴν χεῖρα, καὶ εἰσήλθοσαν καὶτὴν πόλιν, καὶ κατελάβοντο αὐτήν· καὶ σπεύσαντες ἐνέπρησαν τὴν πόλιν ἐν πυρί.
7461	ΙΗΣΟΥΣ ΝΑΥΗ 18:12	νὼτου	νώτου	\vs{12}Καὶ ἐγενήθη αὐτῶν τὰ ὅρια ἀπὸ Βοῤῥᾶ· ἀπὸ τοῦ Ἱορδάνου προσαναβήσεται τὰ ὅρια κατὰ νὼτου Ἱεριχὼ ἀπὸ Βοῤῥᾶ, καὶ ἀναβήσεται ἐπὶ τὸ ὄρος ἐπὶ τὴν θάλασσαν, καὶ ἔσται αὐτοῦ ἡ διέξοδος ἡ Μαβδαρίτις Βαιθών.
7502	ΙΗΣΟΥΣ ΝΑΥΗ 19:17	Ἰσσὰχαρ	Ἰσσάχαρ	\vs{17}Καὶ τῷ Ἰσσὰχαρ ἐξῆλθεν ὁ κλῆρος ὁ τέταρτος.
7535	ΙΗΣΟΥΣ ΝΑΥΗ 19:46	Ἱερὰκων	Ἱεράκων	\vs{46}καὶ ἀπὸ θαλάσσης Ἱερὰκων ὅριον πλησίον Ἰόππης.
7863	ΚΡΙΤΑΙ 4:2	ἂρχων	ἄρχων	\vs{2}Καὶ ἀπέδοτο τοὺς υἱοὺς Ἰσραὴλ Κύριος ἐν χειρὶ Ἰαβὶν βασιλέως Χαναὰν, ὃς ἐβασίλευσεν ἐν Ἀσώρ· καὶ ὁ ἂρχων τῆς δυνάμεως αὐτοῦ Σισάρα, καὶ αὐτὸς κατῴκει ἐν Ἀρισὼθ τῶν ἐθνῶν.
8216	ΚΡΙΤΑΙ 12:2	Ἰεφθὰε	Ἰεφθάε	\vs{2}Καὶ εἶπε πρὸς αὐτοὺς Ἰεφθὰε, ἀνὴρ μαχητὴς ἤμην ἐγὼ καὶ ὁ λαός μου, καὶ οἱ υἱοὶ Ἀμμὼν σφόδρα· καὶ ἐβόησα ὑμᾶς, καὶ οὐκ ἐσώσατέ με ἐκ χειρὸς αὐτῶν.
8302	ΚΡΙΤΑΙ 15:3	ἠθὼωμαι	ἠθώωμαι	\vs{3}Καὶ εἶπεν αὐτοῖς Σαμψὼν, ἠθὼωμαι καὶ τὸ ἅπαξ ἀπὸ ἀλλοφύλων, ὅτι ποιῶ ἐγὼ μετʼ αὐτῶν πονηρίαν·
8462	ΚΡΙΤΑΙ 19:30	ἑὼραται	ἑώραται	\vs{30}Καὶ ἐγένετο πᾶς ὁ βλέπων ἔλεγεν, οὐκ ἐγένετο καὶ οὐχ ἑὼραται ἀπὸ ἡμέρας ἀναβάσεως υἱῶν Ἰσραὴλ ἐκ γῆς Αἰγύπτου ἕως τῆς ἡμέρας ταύτης ὠς αὐτή· θέσθε ὑμῖν αὐτοῖς βουλὴν ἐπʼ αὐτὴν, καὶ λαλήσατε.
8753	ΒΑΣΙΛΕΙΩΝ Α 2:20	τὸπον	τόπον	\vs{20}Καὶ εὐλόγησεν Ἡλὶ τὸν Ἑλκανὰ καὶ τὴν γυναῖκα αὐτοῦ, λέγων, ἀποτίσαι σοι Κύριος σπέρμα ἐκ τῆς γυναικὸς ταύτης, ἀντὶ τοῦ χρέους οὗ ἔχρησας τῷ Κυρίῳ· καὶ ἀπῆλθεν ὁ ἄνθρωπος εἰς τὸν τὸπον αὐτοῦ.
8766	ΒΑΣΙΛΕΙΩΝ Α 2:30	Κὺριος	Κύριος	\vs{30}Διὰ τοῦτο τάδε λέγει Κύριος ὁ Θεὸς Ἰσραὴλ, εἶπα, ὁ οἶκός σου καὶ ὁ οἶκος τοῦ πατρός σου διελεύσεται ἐνώπιόν μου ἕως αἰῶνος· καὶ νῦν φησι Κὺριος, μηδαμῶς ἐμοὶ, ὅτι ἀλλʼ ἢ τοὺς δοξάζοντάς με δοξάσω, καὶ ὁ ἐξουθενῶν με ἀτιμωθήσεται.
8800	ΒΑΣΙΛΕΙΩΝ Α 3:21	Σηλὼμε	Σηλώμε	\vs{21}Καὶ προσέθετο Κύριος δηλωθῆναι ἐν Σηλὼμε, ὅτι ἀπεκαλύφθη Κύριος πρὸς Σαμουήλ· καὶ ἐπιστεύθη Σαμουὴλ τοῦ προφήτης γενέσθαι τῷ Κυρίῳ εἰς πάντα Ἰσραὴλ ἀπʼ ἄκρων τῆς γῆς καὶ ἕως ἄκρων· καὶ Ἡλὶ πρεσβύτης σφόδρα, καὶ οἱ υἱοὶ αὐτοῦ πορεύομενοι ἐπορεύοντο, καὶ πονηρὰ ἡ ὁδὸς αὐτῶν ἐνώπιον Κυρίου.
8856	ΒΑΣΙΛΕΙΩΝ Α 6:7	τὲκνα	τέκνα	\vs{7}Καὶ νῦν λάβετε καὶ ποιήσατε ἅμαξαν καινὴν, καὶ δύο βόας πρωτοτοκούσας ἄνευ τῶν τέκνων· καὶ ζεύξατε τὰς βόας ἐν τῇ ἁμάξῃ, καὶ ἀπαγάγετε τὰ τὲκνα ἀπὸ ὄπισθεν αὐτῶν εἰς οἴκον.
8970	ΒΑΣΙΛΕΙΩΝ Α 10:4	λὴψῃ	λήψῃ	\vs{4}Καὶ ἐρωτήσουσί σε τὰ εἰς εἰρήνην, καὶ δώσουσί σοι δύο ἀπαρχὰς ἄρτων, καὶ λὴψῃ ἐκ τῆς χειρὸς αὐτῶν.
9083	ΒΑΣΙΛΕΙΩΝ Α 13:22	Ἰωνὰθαν	Ἰωνάθαν	\vs{22}Καὶ ἐγενήθη ἐν ταῖς ἡμέραις τοῦ πολέμου Μαχμὰς, καὶ οὐχ εὑρέθη ῥομφαία καὶ δόρυ ἐν χειρὶ παντὸς τοῦ λαοῦ τοῦ μετὰ Σαοὺλ καὶ μετὰ Ἰωνάθαν· καὶ εὑρέθη τῷ Σαοὺλ καὶ τῷ Ἰωνὰθαν υἱῷ αὐτοῦ.
9340	ΒΑΣΙΛΕΙΩΝ Α 20:11	μὲνε	μένε	\vs{11}Καὶ εἶπεν Ἰωνάθαν πρὸς Δαυὶδ, πορεύου, καὶ μὲνε εἰς ἀγρόν· καὶ ἐκπορεύονται ἀμφότεροι εἰς ἀγρόν.
9378	ΒΑΣΙΛΕΙΩΝ Α 20:42	ἀνὰμέσον	ἀνάμέσον	\vs{42}Καὶ εἶπεν Ἰωνάθαν τῷ Δαυὶδ, πορεύου εἰς εἰρήνην, καὶ ὡς ὀμωμόκαμεν ἡμεῖς ἀμφότεροι ἐν ὀνόματι Κυρίου, λέγοντες, Κύριος ἔσται μάρτυς ἀνὰμέσον ἐμοῦ καὶ σοῦ, καὶ ἀνὰμέσον τοῦ σηέρματός μου καὶ ἀναμέσον τοῦ σπέρματός σον ἕως αἰῶνος·
9378	ΒΑΣΙΛΕΙΩΝ Α 20:42	ἀνὰμέσον	ἀνάμέσον	\vs{42}Καὶ εἶπεν Ἰωνάθαν τῷ Δαυὶδ, πορεύου εἰς εἰρήνην, καὶ ὡς ὀμωμόκαμεν ἡμεῖς ἀμφότεροι ἐν ὀνόματι Κυρίου, λέγοντες, Κύριος ἔσται μάρτυς ἀνὰμέσον ἐμοῦ καὶ σοῦ, καὶ ἀνὰμέσον τοῦ σηέρματός μου καὶ ἀναμέσον τοῦ σπέρματός σον ἕως αἰῶνος·
9393	ΒΑΣΙΛΕΙΩΝ Α 21:10	τὸυ	τόυ	\vs{10}Καὶ εἶπεν ὁ ἱερεὺς, ἰδοὺ ἡ ῥομφαία Γολιὰθ τὸυ ἀλλοφύλου, ὃν ἐπάταξας ἐν τῇ κοιλάδι Ἠλᾶ· καὶ αὕτη ἐνειλημένη ἦν ἐν ἱματίῳ· εἰ ταύτην λήψῃ, σεαυτῷ λάβε, ὅτι οὐκ ἔστιν ἑτέρα πάρεξ ταύτης ἐνταῦθα· καὶ εἶπε Δαυὶδ, ἰδοὺ οὐκ ἔστιν ὥσπερ αὐτή· δός μοι αὐτήν.
9656	ΒΑΣΙΛΕΙΩΝ Α 30:2	ᾐχμαλὼτευσαν	ᾐχμαλώτευσαν	\vs{2}Καὶ τὰς γυναῖκας καὶ πάντα τὰ ἐν αὐτῇ ἀπὸ μικροῦ ἕως μεγάλου οὐκ ἐθανάτωσαν ἄνδρα καὶ γυναῖκα, ἀλλʼ ᾐχμαλὼτευσαν, καὶ ἀπῆλθον εἰς τὴν ὁδὸν αὐτῶν.
9680	ΒΑΣΙΛΕΙΩΝ Α 30:21	διακοσὶους	διακοσίους	\vs{21}Καὶ παραγίνεται Δαυὶδ πρὸς τοὺς διακοσὶους ἄνδρας τούς ὑπολειφθέντας τοῦ πορεύεσθαι ὀπίσω Δαυὶδ, καὶ ἐκάθισεν αὐτοὺς ἐν τῷ χειμάῤῥῳ τοῦ Βοσὸρ, καὶ ἐξῆλθον εἰς ἀπάντησιν Δαυὶδ καὶ εἰς ἀπάντησιν τοῦ λαοῦ τοῦ μετʼ αὐτοῦ· καὶ προσήγαγε Δαυὶδ ἕως τοῦ λαοῦ, καὶ ἠρώτησαν αὐτὸν τὰ εἰς εἰρήνην.
10503	ΒΑΣΙΛΕΙΩΝ Β 22:8	ὃτι	ὅτι	\vs{8}Καὶ ἐταράχθη καὶ ἐσείσθη ἡ γῆ, καὶ τὰ θεμέλια τοῦ οὐρανοῦ συνεταράχθησαν καὶ ἐσπαράχθησαν, ὃτι ἐθυμώθη Κύριος αὐτοῖς.
10510	ΒΑΣΙΛΕΙΩΝ Β 22:15	ἢστραψεν	ἤστραψεν	\vs{15}Καὶ ἀπέστειλε βέλη, καὶ ἐσκόρπισεν αὐτούς· καὶ ἢστραψεν ἀστραπὴν, καὶ ἐξέστησεν αὐτούς.
10670	ΒΑΣΙΛΕΙΩΝ Γ 1:24	Νὰθαν	Νάθαν	\vs{24}Καὶ εἶπε Νὰθαν, κύριέ μου βασιλεῦ, σὺ εἶπας, Ἀδωνίας βασιλεύσει ὀπίσω μου, καὶ αὐτὸς καθήσεται ἐπὶ τοῦ θρόνου μου;
11022	ΒΑΣΙΛΕΙΩΝ Γ 8:29	τὸπον	τόπον	\vs{29}τοῦ εἶναι τοὺς ὀφθαλμούς σου ἠνεῳγμένους εἰς τὸν οἶκον τοῦτον ἡμέρας καὶ νυκτὸς, εἰς τὸν τὸπον ὃν εἶπας, ἔσται τὸ ὄνομά μου ἐκεῖ, τοῦ εἰσακούειν τῆς προσευχῆς ἧς προσεύχεται ὁ δοῦλός σου εἰς τὸν τόπον τοῦτον ἡμέρας καὶ νυκτός.
11395	ΒΑΣΙΛΕΙΩΝ Γ 16:24	ἐπὶε	ἐπίε	\vs{24}Καὶ ἐκτήσατο Ἀμβρὶ τὸ ὄρος τὸ Σεμερὼν παρὰ Σεμὴρ τοῦ κυρίου τοῦ ὄρους ἐν δύο ταλάντων ἀργυρίου· καὶ ᾠκοδόμησε τὸ ὄρος, καὶ ἐπεκάλεσαν τὸ ὄνομα τοῦ ὄρους οὗ ᾠκοδόμησαν ἐπὶε τῷ ὀνόματι Σεμὴρ τοῦ κυρίου τοῦ ὄρους, Σεμηρών.
11521	ΒΑΣΙΛΕΙΩΝ Γ 19:11	Καὶλἰδοὺ	Καίλἰδοὺ	\vs{11}Καὶ εἶπεν, ἐξελεύσῃ αὔριον, καὶ στήσῃ ἐνώπιον Κυρίου ἐν τῷ ὄρει· ἰδοὺ παρελεύσεται Κύριος. Καὶλἰδοὺ πνεῦμα μέγα κραταιὸν διαλύον ὄρη καὶ συντρίβον πέτρας ἐνώπιον Κυρίου, οὐκ ἐν τῷ πνεύματι Κύριος· καὶ μετὰ τό πνεῦμα συσσεισμὸς, οὐκ ἐν τῷ συσσεισμῷ Κύριος·
11650	ΒΑΣΙΛΕΙΩΝ Γ 22:16	ὃπως	ὅπως	\vs{16}Καὶ εἶπεν αὐτῷ ὁ βασιλεὺς, ποσάκις ἐγὼ ὁρκίζω σε, ὃπως λαλήσῃς πρὸς μὲ ἀλήθειαν ἐν ὀνόματι Κυρίου;
11998	ΒΑΣΙΛΕΙΩΝ Δ 9:7	ἐκδικὴσεις	ἐκδικήσεις	\vs{7}Καὶ ἐξολοθρεύσεις τὸν οἶκον Ἀχαὰβ τοῦ κυρίου σου ἐκ προσώπου σου, καὶ ἐκδικὴσεις τὰ αἵματα τῶν δούλων μου τῶν προφητῶν, καὶ τὰ αἵματα πάντων τῶν δούλων Κυρίου ἐκ χειρὸς Ἰεζάβελ,
12020	ΒΑΣΙΛΕΙΩΝ Δ 9:24	ἀνὰμέσον	ἀνάμέσον	\vs{24}Καὶ ἔπλησεν Ἰοὺ τὴν χεῖρα αὐτοῦ ἐν τῷ τόξῳ, καὶ ἐπάταξε τὸν Ἰωρὰμ ἀνὰμέσον τῶν βραχιόνων αὐτοῦ, καὶ ἐξῆλθε τὸ βέλος αὐτοῦ διὰ τῆς καρδίας αὐτοῦ, καὶ ἔκαμψεν ἐπὶ τὰ γόνατα αὐτοῦ.
12035	ΒΑΣΙΛΕΙΩΝ Δ 9:36	Ἰεζρὰελ	Ἰεζράελ	\vs{36}Καὶ ἐπέστρεψαν καὶ ἀνήγγειλαν αὐτῷ· καὶ εἶπε, λόγος Κυρίου ὃν ἐλάλησεν ἐν χειρὶ Ἠλιοὺ τοῦ Θεσβίτου, λέγων, ἐν τῇ μερίδι Ἰεζρὰελ καταφάγονται οἱ κύνες τὰς σάρκας Ἰεζάβελ.
12377	ΒΑΣΙΛΕΙΩΝ Δ 18:30	Κὺριον	Κύριον	\vs{30}Καὶ μὴ ἐπελπιζέτω ὑμᾶς Ἐζεκίας πρὸς Κὺριον, λέγων, ἐξαιρούμενος ἐξελεῖται Κύριος, οὐ μὴ παραδοθῇ ἡ πόλις αὕτη ἐν χειρὶ βασιλέως Ἀσσυρίων.
